LEAGUE_NAME,COUNTRY,CLUB,CLUB_HREF
Premier League,England,Manchester City,/manchester-city/startseite/verein/281/saison_id/2022
Premier League,England,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2022
Premier League,England,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2022
Premier League,England,Manchester United,/manchester-united/startseite/verein/985/saison_id/2022
Premier League,England,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2022
Premier League,England,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2022
Premier League,England,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2022
Premier League,England,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2022
Premier League,England,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2022
Premier League,England,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2022
Premier League,England,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2022
Premier League,England,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2022
Premier League,England,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2022
Premier League,England,Everton FC,/fc-everton/startseite/verein/29/saison_id/2022
Premier League,England,Nottingham Forest,/nottingham-forest/startseite/verein/703/saison_id/2022
Premier League,England,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2022
Premier League,England,Leeds United,/leeds-united/startseite/verein/399/saison_id/2022
Premier League,England,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2022
Premier League,England,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2022
Premier League,England,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2022
Ligue 1,France,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583/saison_id/2022
Ligue 1,France,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273/saison_id/2022
Ligue 1,France,AS Monaco,/as-monaco/startseite/verein/162/saison_id/2022
Ligue 1,France,Olympique Lyon,/olympique-lyon/startseite/verein/1041/saison_id/2022
Ligue 1,France,Olympique Marseille,/olympique-marseille/startseite/verein/244/saison_id/2022
Ligue 1,France,OGC Nice,/ogc-nizza/startseite/verein/417/saison_id/2022
Ligue 1,France,LOSC Lille,/losc-lille/startseite/verein/1082/saison_id/2022
Ligue 1,France,RC Lens,/rc-lens/startseite/verein/826/saison_id/2022
Ligue 1,France,FC Lorient,/fc-lorient/startseite/verein/1158/saison_id/2022
Ligue 1,France,Stade Reims,/stade-reims/startseite/verein/1421/saison_id/2022
Ligue 1,France,Montpellier HSC,/montpellier-hsc/startseite/verein/969/saison_id/2022
Ligue 1,France,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667/saison_id/2022
Ligue 1,France,FC Nantes,/fc-nantes/startseite/verein/995/saison_id/2022
Ligue 1,France,FC Toulouse,/fc-toulouse/startseite/verein/415/saison_id/2022
Ligue 1,France,Stade Brestois 29,/stade-brest-29/startseite/verein/3911/saison_id/2022
Ligue 1,France,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095/saison_id/2022
Ligue 1,France,Angers SCO,/sco-angers/startseite/verein/1420/saison_id/2022
Ligue 1,France,AJ Auxerre,/aj-auxerre/startseite/verein/290/saison_id/2022
Ligue 1,France,Clermont Foot 63,/clermont-foot-63/startseite/verein/3524/saison_id/2022
Ligue 1,France,AC Ajaccio,/ac-ajaccio/startseite/verein/1147/saison_id/2022
La Liga,Spain,Real Madrid,/real-madrid/startseite/verein/418/saison_id/2022
La Liga,Spain,FC Barcelona,/fc-barcelona/startseite/verein/131/saison_id/2022
La Liga,Spain,Atlético de Madrid,/atletico-madrid/startseite/verein/13/saison_id/2022
La Liga,Spain,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2022
La Liga,Spain,Villarreal CF,/fc-villarreal/startseite/verein/1050/saison_id/2022
La Liga,Spain,Valencia CF,/fc-valencia/startseite/verein/1049/saison_id/2022
La Liga,Spain,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150/saison_id/2022
La Liga,Spain,Sevilla FC,/fc-sevilla/startseite/verein/368/saison_id/2022
La Liga,Spain,Athletic Bilbao,/athletic-bilbao/startseite/verein/621/saison_id/2022
La Liga,Spain,CA Osasuna,/ca-osasuna/startseite/verein/331/saison_id/2022
La Liga,Spain,Girona FC,/fc-girona/startseite/verein/12321/saison_id/2022
La Liga,Spain,Celta de Vigo,/celta-vigo/startseite/verein/940/saison_id/2022
La Liga,Spain,Getafe CF,/fc-getafe/startseite/verein/3709/saison_id/2022
La Liga,Spain,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714/saison_id/2022
La Liga,Spain,UD Almería,/ud-almeria/startseite/verein/3302/saison_id/2022
La Liga,Spain,RCD Mallorca,/rcd-mallorca/startseite/verein/237/saison_id/2022
La Liga,Spain,Rayo Vallecano,/rayo-vallecano/startseite/verein/367/saison_id/2022
La Liga,Spain,Real Valladolid CF,/real-valladolid/startseite/verein/366/saison_id/2022
La Liga,Spain,Elche CF,/fc-elche/startseite/verein/1531/saison_id/2022
La Liga,Spain,Cádiz CF,/fc-cadiz/startseite/verein/2687/saison_id/2022
Serie A,Italy,SSC Napoli,/ssc-neapel/startseite/verein/6195/saison_id/2022
Serie A,Italy,Inter Milan,/inter-mailand/startseite/verein/46/saison_id/2022
Serie A,Italy,AC Milan,/ac-mailand/startseite/verein/5/saison_id/2022
Serie A,Italy,Juventus FC,/juventus-turin/startseite/verein/506/saison_id/2022
Serie A,Italy,AS Roma,/as-rom/startseite/verein/12/saison_id/2022
Serie A,Italy,Atalanta BC,/atalanta-bergamo/startseite/verein/800/saison_id/2022
Serie A,Italy,SS Lazio,/lazio-rom/startseite/verein/398/saison_id/2022
Serie A,Italy,ACF Fiorentina,/ac-florenz/startseite/verein/430/saison_id/2022
Serie A,Italy,US Sassuolo,/us-sassuolo/startseite/verein/6574/saison_id/2022
Serie A,Italy,Torino FC,/fc-turin/startseite/verein/416/saison_id/2022
Serie A,Italy,Udinese Calcio,/udinese-calcio/startseite/verein/410/saison_id/2022
Serie A,Italy,Bologna FC 1909,/fc-bologna/startseite/verein/1025/saison_id/2022
Serie A,Italy,AC Monza,/ac-monza/startseite/verein/2919/saison_id/2022
Serie A,Italy,FC Empoli,/fc-empoli/startseite/verein/749/saison_id/2022
Serie A,Italy,Hellas Verona,/hellas-verona/startseite/verein/276/saison_id/2022
Serie A,Italy,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380/saison_id/2022
Serie A,Italy,Spezia Calcio,/spezia-calcio/startseite/verein/3522/saison_id/2022
Serie A,Italy,US Lecce,/us-lecce/startseite/verein/1005/saison_id/2022
Serie A,Italy,US Cremonese,/us-cremonese/startseite/verein/2239/saison_id/2022
Serie A,Italy,UC Sampdoria,/sampdoria-genua/startseite/verein/1038/saison_id/2022
Bundesliga,Germany,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2022
