URL,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
https://www.transfermarkt.com/ederson/profil/spieler/238223,Brazil,€40.00m
https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,Germany,€9.00m
https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,United States,€3.50m
https://www.transfermarkt.com/scott-carson/profil/spieler/14555,England,€200k
https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Portugal,€80.00m
https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Netherlands,€42.00m
https://www.transfermarkt.com/john-stones/profil/spieler/186590,England,€40.00m
https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,Switzerland,€38.00m
https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,Spain,€25.00m
https://www.transfermarkt.com/luke-mbete/profil/spieler/609883,England,€2.00m
https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,Spain,€13.00m
https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,England,€1.50m
https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,France,-
https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,Portugal,€50.00m
https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,England,€20.00m
https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,England,€13.00m
https://www.transfermarkt.com/rodri/profil/spieler/357565,Spain,€90.00m
https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,England,€32.00m
https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,Argentina,€10.00m
https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,France,€1.40m
https://www.transfermarkt.com/shea-charles/profil/spieler/747951,Northern Ireland,NA
https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,Germany,€20.00m
https://www.transfermarkt.com/alex-robertson/profil/spieler/609887,Australia,€50k
https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Portugal,€80.00m
https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,Belgium,€70.00m
https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,England,€15.00m
https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,England,NA
https://www.transfermarkt.com/phil-foden/profil/spieler/406635,England,€110.00m
https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,England,€75.00m
https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Algeria,€20.00m
https://www.transfermarkt.com/ben-knight/profil/spieler/568007,England,€300k
https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,Norway,€180.00m
https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,Argentina,€60.00m
https://www.transfermarkt.com/liam-delap/profil/spieler/610849,England,€5.00m
https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,England,€40.00m
https://www.transfermarkt.com/matt-turner/profil/spieler/425306,United States,€8.00m
https://www.transfermarkt.com/karl-hein/profil/spieler/493513,Estonia,€1.50m
