"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2023,"Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF","33",1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30,51,34,0,0,0,0,0,0.03,0.04,0.08,0.03,0.08,"https://fbref.com/en/players/0a63446f/Mickael-Alphonse"
2023,"Ajaccio","Ligue 1","Cédric Avinel","GLP","DF","35",1986,24,19,1794,19.9,1,0,1,1,0,0,2,1,1,1,0,1,3,31,1,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,"https://fbref.com/en/players/a94d93be/Cedric-Avinel"
2023,"Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF","31",1991,20,15,1325,14.7,1,1,2,1,0,0,1,0,0.9,0.9,1.9,2.8,26,87,53,0.07,0.07,0.14,0.07,0.14,0.06,0.13,0.19,0.06,0.19,"https://fbref.com/en/players/e3844ecb/Mickael-Barreto"
2023,"Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF","26",1996,33,25,2009,22.3,1,1,2,1,0,0,3,1,2,2,2,4.1,46,66,109,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.18,0.09,0.18,"https://fbref.com/en/players/20e0dd86/Cyrille-Bayala"
2023,"Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW","30",1992,17,15,1150,12.8,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32,55,68,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,0.14,0.42,"https://fbref.com/en/players/1a248246/Youcef-Belaili"
2023,"Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF","19",2002,8,2,229,2.5,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,4,16,0,0,0,0,0,0.48,0.05,0.53,0.48,0.53,"https://fbref.com/en/players/65fcf987/Kouame-Botue"
2023,"Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF","24",1998,7,3,329,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,14,8,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"https://fbref.com/en/players/5d9577aa/Florian-Chabrolle"
2023,"Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW","18",2004,6,1,193,2.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,7,5,0,0,0,0,0,0.01,0.04,0.06,0.01,0.06,"https://fbref.com/en/players/1237c049/Ivane-Chegra"
2023,"Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF","20",2002,8,3,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,0,17,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,"https://fbref.com/en/players/7495aba7/Yanis-Cimignani"
2023,"Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF","36",1986,27,22,1947,21.6,0,0,0,0,0,0,2,0,0.1,0.1,1,1.1,20,110,22,0,0,0,0,0,0,0.05,0.05,0,0.05,"https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur"
2023,"Ajaccio","Ligue 1","Ismael Diallo","CIV","DF","25",1997,28,25,2176,24.2,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,36,70,36,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,"https://fbref.com/en/players/b3244eeb/Ismael-Diallo"
2023,"Ajaccio","Ligue 1","Moussa Djitte","SEN","FW","22",1999,6,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,2,12,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,"https://fbref.com/en/players/627b570a/Moussa-Djitte"
2023,"Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF","24",1998,30,29,2578,28.6,0,0,0,0,0,0,10,0,1,1,0,1.1,12,54,5,0,0,0,0,0,0.04,0,0.04,0.04,0.04,"https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez"
2023,"Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW","18",2003,4,2,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,8,0,0,0,0,0,0.04,0,0.04,0.04,0.04,"https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure"
2023,"Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF","35",1987,19,14,1079,12,2,2,4,2,0,0,5,2,3,3,2.3,5.3,29,47,110,0.17,0.17,0.33,0.17,0.33,0.25,0.19,0.44,0.25,0.44,"https://fbref.com/en/players/0b4d8274/Romain-Hamouma"
2023,"Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW","23",1999,32,30,2497,27.7,6,0,6,6,0,0,10,0,7.2,7.2,1,8.2,21,40,173,0.22,0,0.22,0.22,0.22,0.26,0.03,0.3,0.26,0.3,"https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy"
2023,"Ajaccio","Ligue 1","Anthony Khelifa","FRA","DF","16",2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3670aa71/Anthony-Khelifa"
2023,"Ajaccio","Ligue 1","Youssouf Koné","MLI","DF","27",1995,13,12,916,10.2,0,0,0,0,0,0,4,0,0,0,0.1,0.1,14,23,16,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/e6eadfb8/Youssouf-Kone"
2023,"Ajaccio","Ligue 1","Qazim Laçi","ALB","MF","26",1996,9,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,24,4,0,0,0,0,0,0.06,0.08,0.15,0.06,0.15,"https://fbref.com/en/players/eb0db257/Qazim-Laci"
2023,"Ajaccio","Ligue 1","Paolo Lebas","POR","MF","19",2003,1,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5bf26efc/Paolo-Lebas"
2023,"Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","33",1989,32,32,2798,31.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
2023,"Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW","23",1999,3,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,4,0,0,0,0,0,0.56,0.46,1.02,0.56,1.02,"https://fbref.com/en/players/17e25e72/Ruan-Levine"
2023,"Ajaccio","Ligue 1","Thomas Mangani","FRA","MF","35",1987,26,14,1332,14.8,1,1,2,0,1,2,4,1,2,0.4,1.9,2.3,9,92,15,0.07,0.07,0.14,0,0.07,0.14,0.13,0.26,0.03,0.16,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
2023,"Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF","25",1997,31,29,2452,27.2,0,2,2,0,0,0,7,0,2.3,2.3,1.6,4,66,143,58,0,0.07,0.07,0,0.07,0.09,0.06,0.15,0.09,0.15,"https://fbref.com/en/players/740f00ac/Vincent-Marchetti"
