"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2023,"Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF","33",1989,15.1,0,10,2,20,0.66,0.13,0,0,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,"https://fbref.com/en/players/0a63446f/Mickael-Alphonse"
2023,"Ajaccio","Ligue 1","Cédric Avinel","GLP","DF","35",1986,19.9,1,3,1,33.3,0.15,0.05,0.33,1,4.1,0,0,0,1,1,0.41,0,0,"https://fbref.com/en/players/a94d93be/Cedric-Avinel"
2023,"Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF","31",1991,14.7,1,19,4,21.1,1.29,0.27,0.05,0.25,26.6,3,0,0,0.9,0.9,0.05,0.1,0.1,"https://fbref.com/en/players/e3844ecb/Mickael-Barreto"
2023,"Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF","26",1996,22.3,1,22,6,27.3,0.99,0.27,0.05,0.17,15.2,0,0,0,2,2,0.09,-1,-1,"https://fbref.com/en/players/20e0dd86/Cyrille-Bayala"
2023,"Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW","30",1992,12.8,6,27,9,33.3,2.11,0.7,0.04,0.11,24.8,4,5,6,6.2,1.8,0.07,-0.2,-0.8,"https://fbref.com/en/players/1a248246/Youcef-Belaili"
2023,"Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF","19",2002,2.5,0,7,0,0,2.75,0,0,NA,14.2,0,0,0,1.2,1.2,0.17,-1.2,-1.2,"https://fbref.com/en/players/65fcf987/Kouame-Botue"
2023,"Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF","24",1998,3.7,0,2,1,50,0.55,0.27,0,0,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/5d9577aa/Florian-Chabrolle"
2023,"Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW","18",2004,2.1,0,1,0,0,0.47,0,0,NA,20.4,0,0,0,0,0,0.03,0,0,"https://fbref.com/en/players/1237c049/Ivane-Chegra"
2023,"Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF","20",2002,3.1,0,6,2,33.3,1.94,0.65,0,0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,"https://fbref.com/en/players/7495aba7/Yanis-Cimignani"
2023,"Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF","36",1986,21.6,0,4,0,0,0.18,0,0,NA,29.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,"https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur"
2023,"Ajaccio","Ligue 1","Ismael Diallo","CIV","DF","25",1997,24.2,0,3,0,0,0.12,0,0,NA,17.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,"https://fbref.com/en/players/b3244eeb/Ismael-Diallo"
2023,"Ajaccio","Ligue 1","Moussa Djitte","SEN","FW","22",1999,1.5,0,2,0,0,1.32,0,0,NA,23.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"https://fbref.com/en/players/627b570a/Moussa-Djitte"
2023,"Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF","24",1998,28.6,0,11,3,27.3,0.38,0.1,0,0,11.1,0,0,0,1,1,0.09,-1,-1,"https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez"
2023,"Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW","18",2003,2.3,0,2,0,0,0.86,0,0,NA,28.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure"
2023,"Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF","35",1987,12,2,16,6,37.5,1.33,0.5,0.13,0.33,15.3,1,0,0,3,3,0.19,-1,-1,"https://fbref.com/en/players/0b4d8274/Romain-Hamouma"
2023,"Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW","23",1999,27.7,6,50,19,38,1.8,0.68,0.12,0.32,14.6,0,0,0,7.2,7.2,0.14,-1.2,-1.2,"https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy"
2023,"Ajaccio","Ligue 1","Anthony Khelifa","FRA","DF","16",2005,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/3670aa71/Anthony-Khelifa"
2023,"Ajaccio","Ligue 1","Youssouf Koné","MLI","DF","27",1995,10.2,0,1,1,100,0.1,0.1,0,0,27.6,0,0,0,0,0,0.04,0,0,"https://fbref.com/en/players/e6eadfb8/Youssouf-Kone"
2023,"Ajaccio","Ligue 1","Qazim Laçi","ALB","MF","26",1996,2.4,0,4,0,0,1.7,0,0,NA,30.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,"https://fbref.com/en/players/eb0db257/Qazim-Laci"
2023,"Ajaccio","Ligue 1","Paolo Lebas","POR","MF","19",2003,0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/5bf26efc/Paolo-Lebas"
2023,"Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","33",1989,31.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
2023,"Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW","23",1999,0.3,0,2,1,50,7.5,3.75,0,0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,"https://fbref.com/en/players/17e25e72/Ruan-Levine"
2023,"Ajaccio","Ligue 1","Thomas Mangani","FRA","MF","35",1987,14.8,1,9,0,0,0.61,0,0,NA,27.1,2,1,2,2,0.4,0.05,-1,-0.4,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
