"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2023,"Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF","33",1989,15.1,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0,0.7,0.9,-0.7,11,43,10,5,51,"https://fbref.com/en/players/0a63446f/Mickael-Alphonse"
2023,"Ajaccio","Ligue 1","Cédric Avinel","GLP","DF","35",1986,19.9,607,714,85,12003,4107,174,194,89.7,346,388,89.2,71,108,65.7,0,0,0.1,0,0,13,0,0,31,"https://fbref.com/en/players/a94d93be/Cedric-Avinel"
2023,"Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF","31",1991,14.7,481,695,69.2,9089,3373,205,247,83,179,239,74.9,80,173,46.2,1,1.9,2.1,-0.9,18,71,16,7,87,"https://fbref.com/en/players/e3844ecb/Mickael-Barreto"
2023,"Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF","26",1996,22.3,399,654,61,6041,2291,219,290,75.5,133,215,61.9,24,76,31.6,1,2,1.7,-1,19,45,14,7,66,"https://fbref.com/en/players/20e0dd86/Cyrille-Bayala"
2023,"Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW","30",1992,12.8,328,458,71.6,5637,2159,162,201,80.6,101,137,73.7,44,74,59.5,3,3.5,3.3,-0.5,21,35,22,6,55,"https://fbref.com/en/players/1a248246/Youcef-Belaili"
2023,"Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF","19",2002,2.5,33,47,70.2,386,141,23,31,74.2,8,12,66.7,0,0,NA,0,0.1,0.1,-0.1,3,6,1,0,4,"https://fbref.com/en/players/65fcf987/Kouame-Botue"
2023,"Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF","24",1998,3.7,120,138,87,1822,345,60,65,92.3,49,57,86,4,9,44.4,0,0,0.1,0,0,7,2,0,14,"https://fbref.com/en/players/5d9577aa/Florian-Chabrolle"
2023,"Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW","18",2004,2.1,21,40,52.5,447,232,6,15,40,10,13,76.9,4,9,44.4,0,0.1,0.1,-0.1,1,5,1,0,7,"https://fbref.com/en/players/1237c049/Ivane-Chegra"
2023,"Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF","20",2002,3.1,75,113,66.4,1245,267,41,51,80.4,25,40,62.5,8,14,57.1,0,0.1,0.1,-0.1,3,1,2,2,0,"https://fbref.com/en/players/7495aba7/Yanis-Cimignani"
2023,"Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF","36",1986,21.6,1006,1197,84,16929,4490,464,526,88.2,386,449,86,106,150,70.7,0,1,1.4,-1,10,100,7,1,110,"https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur"
2023,"Ajaccio","Ligue 1","Ismael Diallo","CIV","DF","25",1997,24.2,804,1078,74.6,14552,5879,359,427,84.1,319,408,78.2,99,188,52.7,0,0.6,0.7,-0.6,9,73,8,4,70,"https://fbref.com/en/players/b3244eeb/Ismael-Diallo"
2023,"Ajaccio","Ligue 1","Moussa Djitte","SEN","FW","22",1999,1.5,24,32,75,275,43,14,16,87.5,7,11,63.6,1,2,50,0,0,0,0,1,3,1,0,2,"https://fbref.com/en/players/627b570a/Moussa-Djitte"
2023,"Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF","24",1998,28.6,899,1102,81.6,17387,4963,271,332,81.6,513,565,90.8,94,172,54.7,0,0,0.2,0,1,29,1,0,54,"https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez"
2023,"Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW","18",2003,2.3,28,36,77.8,362,55,16,20,80,11,13,84.6,0,1,0,0,0,0,0,0,1,0,0,1,"https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure"
2023,"Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF","35",1987,12,263,364,72.3,3933,1204,118,144,81.9,98,134,73.1,15,33,45.5,2,2.3,1.5,-0.3,13,29,8,1,47,"https://fbref.com/en/players/0b4d8274/Romain-Hamouma"
2023,"Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW","23",1999,27.7,413,622,66.4,5248,987,269,372,72.3,96,147,65.3,13,26,50,0,1,0.9,-1,13,33,9,1,40,"https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy"
2023,"Ajaccio","Ligue 1","Anthony Khelifa","FRA","DF","16",2005,0.1,11,12,91.7,215,55,3,3,100,7,8,87.5,1,1,100,0,0,0,0,0,1,0,0,1,"https://fbref.com/en/players/3670aa71/Anthony-Khelifa"
2023,"Ajaccio","Ligue 1","Youssouf Koné","MLI","DF","27",1995,10.2,322,426,75.6,5724,2090,157,177,88.7,117,142,82.4,43,93,46.2,0,0.1,0.1,-0.1,1,22,3,2,23,"https://fbref.com/en/players/e6eadfb8/Youssouf-Kone"
2023,"Ajaccio","Ligue 1","Qazim Laçi","ALB","MF","26",1996,2.4,111,142,78.2,2278,691,44,55,80,43,50,86,21,31,67.7,0,0.2,0.4,-0.2,3,18,1,0,24,"https://fbref.com/en/players/eb0db257/Qazim-Laci"
2023,"Ajaccio","Ligue 1","Paolo Lebas","POR","MF","19",2003,0.6,12,16,75,208,72,6,10,60,6,6,100,0,0,NA,0,0,0,0,0,2,0,0,2,"https://fbref.com/en/players/5bf26efc/Paolo-Lebas"
2023,"Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","33",1989,31.1,533,875,60.9,18415,15715,60,60,100,211,215,98.1,261,593,44,0,0,0.1,0,0,22,0,0,1,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
2023,"Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW","23",1999,0.3,13,14,92.9,198,27,5,5,100,7,7,100,0,0,NA,0,0.1,0,-0.1,1,1,0,0,1,"https://fbref.com/en/players/17e25e72/Ruan-Levine"
2023,"Ajaccio","Ligue 1","Thomas Mangani","FRA","MF","35",1987,14.8,634,910,69.7,12908,4783,224,294,76.2,271,355,76.3,120,222,54.1,1,1.9,2.1,-0.9,26,78,12,4,92,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
2023,"Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF","25",1997,27.2,837,1057,79.2,14335,4323,383,454,84.4,318,381,83.5,87,136,64,2,1.6,2,0.4,15,107,24,0,143,"https://fbref.com/en/players/740f00ac/Vincent-Marchetti"
2023,"Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF","26",1996,7.9,275,320,85.9,5471,1472,91,102,89.2,145,160,90.6,36,53,67.9,0,0.1,0,-0.1,2,7,0,0,11,"https://fbref.com/en/players/b20cc590/Fernand-Mayembo"
2023,"Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW","27",1995,7.8,90,163,55.2,1205,235,52,82,63.4,23,50,46,5,10,50,0,0.8,0.4,-0.8,5,10,2,0,10,"https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko"
2023,"Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW","37",1985,18.8,425,627,67.8,6625,2227,225,288,78.1,150,208,72.1,31,82,37.8,1,2.2,2.2,-1.2,25,33,14,12,39,"https://fbref.com/en/players/374fbf7d/Riad-Nouri"
2023,"Ajaccio","Ligue 1","Mehdi Puch Herrantz","FRA","MF","18",2004,0.5,22,28,78.6,375,122,11,12,91.7,8,12,66.7,2,2,100,0,0.1,0,-0.1,2,2,1,0,4,"https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz"
2023,"Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK","19",2002,0.9,14,34,41.2,511,427,1,1,100,5,5,100,8,28,28.6,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini"
2023,"Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK","28",1994,6,68,142,47.9,2073,1580,11,11,100,27,30,90,28,99,28.3,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro"
2023,"Ajaccio","Ligue 1","Moussa Soumano","FRA","FW","17",2005,5.5,43,67,64.2,514,74,30,40,75,8,12,66.7,1,3,33.3,0,0.3,0.4,-0.3,5,0,1,1,1,"https://fbref.com/en/players/86a49468/Moussa-Soumano"
2023,"Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW","25",1997,11.8,212,264,80.3,3060,542,116,141,82.3,78,93,83.9,8,14,57.1,1,0.6,0.3,0.4,8,15,2,0,17,"https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda"
2023,"Ajaccio","Ligue 1","Tony Strata","FRA","MF,DF","17",2004,1.5,29,37,78.4,453,124,14,14,100,11,14,78.6,2,7,28.6,0,0,0,0,1,1,0,0,2,"https://fbref.com/en/players/4ca4f263/Tony-Strata"
2023,"Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW","35",1986,5,80,112,71.4,968,196,59,74,79.7,13,20,65,2,3,66.7,0,0,0.1,0,1,5,0,0,7,"https://fbref.com/en/players/4e47507a/Yoann-Touzghar"
2023,"Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF","22",2000,21.1,604,785,76.9,12836,5788,164,207,79.2,318,376,84.6,109,177,61.6,0,0.2,0.6,-0.2,1,52,2,1,61,"https://fbref.com/en/players/b2791a55/Clement-Vidal"
2023,"Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF","34",1988,27.3,932,1279,72.9,14905,7094,487,582,83.7,341,457,74.6,75,167,44.9,0,1.4,1.4,-1.4,15,83,24,17,91,"https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf"
2023,"Almería","La Liga","Sergio Akieme","ESP","DF","24",1997,25.5,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2,2.2,-2,21,43,22,17,58,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2023,"Almería","La Liga","Srđan Babić","SRB","DF","26",1996,33.3,1172,1373,85.4,23290,8365,382,420,91,637,700,91,142,223,63.7,0,0.3,0.4,-0.3,7,55,3,1,63,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2023,"Almería","La Liga","Léo Baptistão","BRA","FW,MF","29",1992,19.2,359,540,66.5,5742,1514,179,229,78.2,124,178,69.7,30,66,45.5,1,1.2,0.9,-0.2,18,30,13,3,51,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2023,"Almería","La Liga","El Bilal Touré","MLI","FW","20",2001,14,183,258,70.9,2226,311,130,158,82.3,44,65,67.7,2,2,100,2,1.3,0.7,0.7,14,7,3,1,14,"https://fbref.com/en/players/47c609d5/El-Bilal-Toure"
2023,"Almería","La Liga","Juan Brandáriz","ESP","DF","23",1999,16.5,664,806,82.4,11229,4521,313,339,92.3,291,335,86.9,47,96,49,0,0.1,0.2,-0.1,2,35,3,2,32,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2023,"Almería","La Liga","José Carlos Lazo","ESP","MF,FW","26",1996,0.2,3,4,75,49,2,2,3,66.7,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo"
2023,"Almería","La Liga","Álex Centelles","ESP","DF","24",1997,12.5,412,577,71.4,7029,2965,190,223,85.2,170,216,78.7,37,97,38.1,2,1.3,1.1,0.7,13,32,9,6,35,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2023,"Almería","La Liga","Samu Costa","POR","MF","21",2000,22.1,864,1097,78.8,15886,5134,383,439,87.2,368,428,86,102,169,60.4,2,1,1,1,13,68,11,0,91,"https://fbref.com/en/players/76c2a023/Samu-Costa"
2023,"Almería","La Liga","Curro","ESP","MF","26",1996,0.5,21,28,75,310,133,10,12,83.3,4,6,66.7,3,4,75,0,0.2,0.2,-0.2,2,1,1,0,1,"https://fbref.com/en/players/f9a225f5/Curro"
2023,"Almería","La Liga","Íñigo Eguaras","ESP","MF","30",1992,10.7,458,543,84.3,7955,2756,223,247,90.3,172,193,89.1,51,73,69.9,1,0.6,1.2,0.4,11,50,9,2,61,"https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras"
2023,"Almería","La Liga","Rodrigo Ely","BRA","DF","28",1993,35.1,1197,1475,81.2,26201,10151,292,339,86.1,705,777,90.7,192,336,57.1,1,0.8,0.6,0.2,6,54,3,0,52,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2023,"Almería","La Liga","Adri Embarba","ESP","FW,MF","30",1992,16.4,356,557,63.9,6340,1897,162,200,81,122,178,68.5,48,110,43.6,3,3.4,2.6,-0.4,32,22,12,6,47,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2023,"Almería","La Liga","Fernando","ESP","GK","32",1990,36.5,919,1313,70,27494,20366,132,133,99.2,440,448,98.2,342,721,47.4,0,0,0,0,0,16,0,0,0,"https://fbref.com/en/players/dabb2827/Fernando"
2023,"Almería","La Liga","Luis Javier Suárez","COL","FW","24",1997,16.6,266,386,68.9,3990,687,153,196,78.1,75,110,68.2,24,46,52.2,4,2.1,1.5,1.9,13,21,2,1,26,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2023,"Almería","La Liga","Kaiky","BRA","DF","18",2004,6.5,182,224,81.3,3877,1389,60,65,92.3,84,97,86.6,34,54,63,0,0,0,0,0,12,1,0,11,"https://fbref.com/en/players/55634fb8/Kaiky"
2023,"Almería","La Liga","César de la Hoz","ESP","MF","30",1992,18.6,435,556,78.2,8183,2869,185,212,87.3,189,226,83.6,56,93,60.2,0,0.9,0.9,-0.9,5,54,5,2,49,"https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz"
2023,"Almería","La Liga","Lázaro","BRA","FW,MF","20",2002,8,170,218,78,2490,660,103,123,83.7,43,54,79.6,14,20,70,0,0.8,0.4,-0.8,12,20,5,1,26,"https://fbref.com/en/players/86ff856b/Lazaro"
2023,"Almería","La Liga","Diego Mariño","ESP","GK","32",1990,0.5,7,8,87.5,261,204,0,0,NA,4,4,100,3,4,75,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2023,"Almería","La Liga","Gonzalo Melero","ESP","MF","28",1994,20.6,652,755,86.4,10427,2627,329,365,90.1,243,276,88,52,63,82.5,3,1.8,1.3,1.2,19,72,13,0,97,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
2023,"Almería","La Liga","Houboulang Mendes","FRA","DF","24",1998,9.8,239,335,71.3,3634,1451,137,152,90.1,78,117,66.7,17,47,36.2,1,0.3,0.2,0.7,4,14,6,3,18,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2023,"Almería","La Liga","Marko Milovanović","SRB","FW","18",2003,0.2,4,9,44.4,53,7,1,2,50,2,4,50,0,0,NA,0,0,0,0,0,0,0,0,1,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
2023,"Almería","La Liga","Fernando Pacheco","ESP","GK","30",1992,1,20,31,64.5,617,423,2,2,100,10,11,90.9,8,17,47.1,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2023,"Almería","La Liga","Francisco Portillo","ESP","MF,FW","32",1990,8,365,459,79.5,5407,1875,211,240,87.9,115,136,84.6,22,41,53.7,1,1,1.9,0,13,49,18,3,74,"https://fbref.com/en/players/8e010ff4/Francisco-Portillo"
2023,"Almería","La Liga","Alejandro Pozo Pozo","ESP","DF","23",1999,20.9,814,1117,72.9,13478,5554,421,470,89.6,303,392,77.3,72,174,41.4,3,3.6,2.6,-0.6,24,40,21,16,64,"https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo"
2023,"Almería","La Liga","Arnau Puigmal","ESP","MF,FW","21",2001,8.5,193,274,70.4,2779,909,117,138,84.8,64,94,68.1,9,23,39.1,0,0.5,0.8,-0.5,8,9,7,3,16,"https://fbref.com/en/players/39352da2/Arnau-Puigmal"
2023,"Almería","La Liga","Largie Ramazani","BEL","FW,MF","21",2001,15.6,195,291,67,3103,857,107,140,76.4,66,90,73.3,16,29,55.2,1,1.7,1.8,-0.7,13,22,11,1,30,"https://fbref.com/en/players/cc9256ef/Largie-Ramazani"
