URL,TKL_TACKLES,TKLW_TACKLES,DEF 3RD_TACKLES,MID 3RD_TACKLES,ATT 3RD_TACKLES,TKL_CHALLENGES,ATT_CHALLENGES,LOST_CHALLENGES,BLOCKS_BLOCKS,SH_BLOCKS,PASS_BLOCKS,INT,TKL+INT,CLR,ERR
https://fbref.com/en/players/0000acda/Marco-Benassi,29.0,18,11.0,11.0,7.0,18.0,28.0,10.0,13.0,1.0,12.0,13,42.0,20.0,0.0
https://fbref.com/en/players/00242715/Moussa-Niakhate,18.0,9,15.0,3.0,0.0,11.0,22.0,11.0,18.0,8.0,10.0,19,37.0,60.0,0.0
https://fbref.com/en/players/00242b75/Leandro-Barreiro-Martins,60.0,38,19.0,28.0,13.0,22.0,49.0,27.0,38.0,13.0,25.0,41,101.0,39.0,1.0
https://fbref.com/en/players/00459419/Marko-Arnautovic,9.0,6,2.0,5.0,2.0,1.0,6.0,5.0,11.0,1.0,10.0,2,11.0,10.0,0.0
https://fbref.com/en/players/004d185e/Tete-Morente,33.0,21,18.0,13.0,2.0,15.0,36.0,21.0,23.0,3.0,20.0,25,58.0,28.0,0.0
https://fbref.com/en/players/007414dd/Samuel-Edozie,17.0,10,6.0,10.0,1.0,3.0,8.0,5.0,7.0,0.0,7.0,6,23.0,6.0,0.0
https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,43.0,33,22.0,18.0,3.0,20.0,33.0,13.0,39.0,29.0,10.0,34,77.0,102.0,1.0
https://fbref.com/en/players/00891164/Cedric-Hountondji,50.0,36,31.0,17.0,2.0,19.0,29.0,10.0,44.0,22.0,22.0,59,109.0,132.0,1.0
https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,50.0,27,32.0,15.0,3.0,28.0,38.0,10.0,39.0,18.0,21.0,63,113.0,99.0,0.0
https://fbref.com/en/players/009a4f60/Julian-Ryerson,55.0,32,34.0,17.0,4.0,34.0,62.0,28.0,28.0,5.0,23.0,20,75.0,47.0,0.0
https://fbref.com/en/players/00a17eba/Samuele-Perisan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,77.0,51,37.0,31.0,9.0,39.0,80.0,41.0,38.0,6.0,32.0,41,118.0,42.0,2.0
https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,41.0,30,17.0,18.0,6.0,19.0,32.0,13.0,36.0,14.0,22.0,34,75.0,27.0,0.0
https://fbref.com/en/players/00eba9c9/Selim-Amallah,15.0,9,7.0,8.0,0.0,5.0,8.0,3.0,2.0,0.0,2.0,5,20.0,2.0,0.0
https://fbref.com/en/players/00f518d8/Faride-Alidou,8.0,5,3.0,4.0,1.0,3.0,9.0,6.0,3.0,0.0,3.0,1,9.0,3.0,0.0
https://fbref.com/en/players/0107757e/Filip-Jorgensen,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
https://fbref.com/en/players/0118c54c/Anthony-Caci,58.0,33,32.0,20.0,6.0,28.0,42.0,14.0,28.0,4.0,24.0,54,112.0,40.0,0.0
https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,27.0,15,13.0,11.0,3.0,15.0,25.0,10.0,16.0,4.0,12.0,13,40.0,15.0,0.0
https://fbref.com/en/players/0154d290/Felix-Afena-Gyan,7.0,3,4.0,1.0,2.0,2.0,10.0,8.0,5.0,1.0,4.0,1,8.0,6.0,0.0
https://fbref.com/en/players/016ff750/Valentino-Lazaro,10.0,5,6.0,0.0,4.0,6.0,14.0,8.0,16.0,3.0,13.0,3,13.0,29.0,0.0
https://fbref.com/en/players/01834aa0/Sebastiaan-Bornauw,29.0,17,17.0,10.0,2.0,16.0,22.0,6.0,27.0,12.0,15.0,31,60.0,83.0,1.0
https://fbref.com/en/players/01870104/Mohamed-Lamine-Bayo,3.0,3,0.0,2.0,1.0,0.0,12.0,12.0,3.0,1.0,2.0,0,3.0,1.0,0.0
https://fbref.com/en/players/01962d0d/Joe-Gelhardt,6.0,2,1.0,3.0,2.0,3.0,5.0,2.0,5.0,0.0,5.0,0,6.0,4.0,0.0
https://fbref.com/en/players/01a49bd2/Lisandro-Magallan,19.0,11,11.0,5.0,3.0,10.0,12.0,2.0,14.0,5.0,9.0,13,32.0,30.0,1.0
https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,7.0,0.0
https://fbref.com/en/players/01becd60/Alan-Virginius,3.0,2,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2,5.0,1.0,0.0
https://fbref.com/en/players/01c3aff5/Weston-McKennie,44.0,18,8.0,27.0,9.0,15.0,37.0,22.0,37.0,7.0,30.0,33,77.0,41.0,1.0
https://fbref.com/en/players/01ce9e70/Kieffer-Moore,14.0,11,2.0,9.0,3.0,5.0,16.0,11.0,12.0,5.0,7.0,1,15.0,26.0,0.0
https://fbref.com/en/players/01e5f06e/Sergio-Gomez,9.0,4,6.0,1.0,2.0,5.0,8.0,3.0,5.0,3.0,2.0,2,11.0,9.0,1.0
https://fbref.com/en/players/01eb744d/Angel-Correa,12.0,6,6.0,3.0,3.0,5.0,16.0,11.0,17.0,0.0,17.0,10,22.0,6.0,1.0
https://fbref.com/en/players/01efac19/Antonin-Barak,21.0,9,5.0,7.0,9.0,6.0,16.0,10.0,16.0,2.0,14.0,3,24.0,13.0,0.0
https://fbref.com/en/players/01fd01e8/Souleymane-Toure,31.0,14,20.0,10.0,1.0,17.0,22.0,5.0,33.0,12.0,21.0,26,57.0,61.0,1.0
https://fbref.com/en/players/02319ad7/Jaime-Mata,13.0,10,4.0,5.0,4.0,7.0,22.0,15.0,7.0,2.0,5.0,3,16.0,6.0,0.0
https://fbref.com/en/players/023937a9/Ivan-Radovanovic,12.0,4,8.0,4.0,0.0,4.0,10.0,6.0,9.0,3.0,6.0,7,19.0,9.0,1.0
