URL,SCA_SCA,GCA_GCA
https://fbref.com/en/players/0000acda/Marco-Benassi,20.0,1.0
https://fbref.com/en/players/00242715/Moussa-Niakhate,9.0,1.0
https://fbref.com/en/players/00242b75/Leandro-Barreiro-Martins,47.0,9.0
https://fbref.com/en/players/00459419/Marko-Arnautovic,44.0,5.0
https://fbref.com/en/players/004d185e/Tete-Morente,53.0,2.0
https://fbref.com/en/players/007414dd/Samuel-Edozie,20.0,0.0
https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,30.0,3.0
https://fbref.com/en/players/00891164/Cedric-Hountondji,13.0,2.0
https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,37.0,4.0
https://fbref.com/en/players/009a4f60/Julian-Ryerson,55.0,0.0
https://fbref.com/en/players/00a17eba/Samuele-Perisan,0.0,0.0
https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,123.0,12.0
https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,30.0,1.0
https://fbref.com/en/players/00eba9c9/Selim-Amallah,11.0,2.0
https://fbref.com/en/players/00f518d8/Faride-Alidou,8.0,1.0
https://fbref.com/en/players/0107757e/Filip-Jorgensen,0.0,0.0
https://fbref.com/en/players/0118c54c/Anthony-Caci,50.0,5.0
https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,76.0,4.0
https://fbref.com/en/players/0154d290/Felix-Afena-Gyan,15.0,1.0
https://fbref.com/en/players/016ff750/Valentino-Lazaro,51.0,4.0
https://fbref.com/en/players/01834aa0/Sebastiaan-Bornauw,7.0,2.0
https://fbref.com/en/players/01870104/Mohamed-Lamine-Bayo,26.0,3.0
https://fbref.com/en/players/01962d0d/Joe-Gelhardt,4.0,2.0
https://fbref.com/en/players/01a49bd2/Lisandro-Magallan,9.0,0.0
https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,2.0,0.0
https://fbref.com/en/players/01becd60/Alan-Virginius,8.0,1.0
https://fbref.com/en/players/01c3aff5/Weston-McKennie,47.0,4.0
https://fbref.com/en/players/01ce9e70/Kieffer-Moore,18.0,2.0
https://fbref.com/en/players/01e5f06e/Sergio-Gomez,7.0,1.0
https://fbref.com/en/players/01eb744d/Angel-Correa,61.0,11.0
https://fbref.com/en/players/01efac19/Antonin-Barak,44.0,1.0
https://fbref.com/en/players/01fd01e8/Souleymane-Toure,18.0,0.0
https://fbref.com/en/players/02319ad7/Jaime-Mata,10.0,2.0
https://fbref.com/en/players/023937a9/Ivan-Radovanovic,2.0,0.0
https://fbref.com/en/players/028e70b9/Joshua-Zirkzee,36.0,4.0
https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure,45.0,3.0
https://fbref.com/en/players/02bcaf8e/Bilal-Brahimi,32.0,2.0
https://fbref.com/en/players/02c15616/Marcos-Llorente,60.0,3.0
https://fbref.com/en/players/02caf6e0/Manuel-Lazzari,29.0,4.0
https://fbref.com/en/players/02d2c436/Luis-Hernandez,36.0,3.0
https://fbref.com/en/players/02ef8778/Raul-de-Tomas,20.0,0.0
https://fbref.com/en/players/03049c8c/Keidi-Bare,11.0,2.0
https://fbref.com/en/players/0313a347/Ezri-Konsa,15.0,2.0
https://fbref.com/en/players/032f894e/Renato-Sanches,19.0,1.0
https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,47.0,2.0
https://fbref.com/en/players/0375723e/Simone-Verdi,47.0,0.0
https://fbref.com/en/players/039a4fb6/Tio-Cipot,4.0,0.0
https://fbref.com/en/players/03e91055/Jason-Berthomier,0.0,0.0
https://fbref.com/en/players/03f946ed/Andrea-Petagna,41.0,7.0
https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,45.0,7.0
https://fbref.com/en/players/0420d84f/Seamus-Coleman,21.0,2.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,85.0,11.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,18.0,0.0
