URL,2CRDY,FLS,FLD,OFF,CRS,TKLW,PKWON,PKCON,OG,RECOV,WON_AERIAL,LOST_AERIAL
https://fbref.com/en/players/0000acda/Marco-Benassi,0,11,7,0,31,18,0.0,0.0,0,81.0,8.0,17.0
https://fbref.com/en/players/00242715/Moussa-Niakhate,0,12,6,0,2,9,0.0,1.0,0,71.0,19.0,15.0
https://fbref.com/en/players/00242b75/Leandro-Barreiro-Martins,0,48,33,3,6,38,1.0,2.0,0,142.0,39.0,43.0
https://fbref.com/en/players/00459419/Marko-Arnautovic,0,22,20,11,9,6,0.0,0.0,0,36.0,10.0,12.0
https://fbref.com/en/players/004d185e/Tete-Morente,0,32,21,12,99,21,1.0,1.0,0,98.0,35.0,21.0
https://fbref.com/en/players/007414dd/Samuel-Edozie,0,1,22,1,11,10,1.0,0.0,0,30.0,6.0,12.0
https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,0,26,21,1,3,33,0.0,0.0,0,119.0,47.0,23.0
https://fbref.com/en/players/00891164/Cedric-Hountondji,0,42,11,0,2,36,0.0,3.0,2,151.0,63.0,31.0
https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,1,24,23,1,6,27,0.0,0.0,0,183.0,81.0,34.0
https://fbref.com/en/players/009a4f60/Julian-Ryerson,0,31,31,2,91,32,0.0,0.0,0,173.0,18.0,20.0
https://fbref.com/en/players/00a17eba/Samuele-Perisan,0,0,1,0,0,0,0.0,0.0,0,3.0,1.0,1.0
https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,0,35,18,6,255,51,0.0,0.0,0,158.0,12.0,21.0
https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,0,25,8,0,9,30,0.0,0.0,0,93.0,45.0,30.0
https://fbref.com/en/players/00eba9c9/Selim-Amallah,0,10,8,1,2,9,0.0,0.0,0,10.0,7.0,8.0
https://fbref.com/en/players/00f518d8/Faride-Alidou,0,8,1,2,7,5,0.0,0.0,0,16.0,2.0,7.0
https://fbref.com/en/players/0107757e/Filip-Jorgensen,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0
https://fbref.com/en/players/0118c54c/Anthony-Caci,0,19,9,0,71,33,0.0,1.0,0,154.0,20.0,32.0
https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,0,13,33,0,57,15,0.0,1.0,0,130.0,15.0,17.0
https://fbref.com/en/players/0154d290/Felix-Afena-Gyan,0,18,11,6,4,3,0.0,0.0,0,39.0,17.0,42.0
https://fbref.com/en/players/016ff750/Valentino-Lazaro,0,14,3,1,86,5,0.0,1.0,0,86.0,14.0,13.0
https://fbref.com/en/players/01834aa0/Sebastiaan-Bornauw,0,24,9,0,3,17,0.0,0.0,0,112.0,51.0,37.0
https://fbref.com/en/players/01870104/Mohamed-Lamine-Bayo,0,13,4,6,2,3,0.0,0.0,0,13.0,13.0,16.0
https://fbref.com/en/players/01962d0d/Joe-Gelhardt,0,6,8,0,1,2,0.0,0.0,0,9.0,5.0,11.0
https://fbref.com/en/players/01a49bd2/Lisandro-Magallan,0,15,5,0,1,11,0.0,0.0,0,53.0,17.0,19.0
https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,0,0,1,0,0,0,0.0,0.0,0,35.0,10.0,0.0
https://fbref.com/en/players/01becd60/Alan-Virginius,0,6,2,2,2,2,0.0,0.0,0,9.0,1.0,11.0
https://fbref.com/en/players/01c3aff5/Weston-McKennie,0,34,12,4,24,18,0.0,0.0,0,138.0,37.0,39.0
https://fbref.com/en/players/01ce9e70/Kieffer-Moore,0,26,30,1,7,11,0.0,0.0,0,26.0,68.0,60.0
