URL,MP_PLAYING,STARTS_PLAYING,MIN_PLAYING,GLS,AST,G+A,G_MINUS_PK,PK,PKATT,CRDY,CRDR,PRGC_PROGRESSION,PRGP_PROGRESSION,PRGR_PROGRESSION
https://fbref.com/en/players/0000acda/Marco-Benassi,17,12,1091,0,0,0,0,0,0,1,0,10.0,36.0,36.0
https://fbref.com/en/players/00242715/Moussa-Niakhate,14,14,1163,0,0,0,0,0,0,1,0,2.0,15.0,3.0
https://fbref.com/en/players/00242b75/Leandro-Barreiro-Martins,31,25,2141,4,3,7,4,0,0,5,0,17.0,54.0,49.0
https://fbref.com/en/players/00459419/Marko-Arnautovic,21,18,1530,10,0,10,7,3,3,5,0,13.0,36.0,116.0
https://fbref.com/en/players/004d185e/Tete-Morente,32,23,2068,4,0,4,4,0,0,5,0,60.0,63.0,193.0
https://fbref.com/en/players/007414dd/Samuel-Edozie,17,5,567,0,0,0,0,0,0,0,0,26.0,13.0,39.0
https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj,34,31,2779,3,1,4,3,0,0,8,0,29.0,110.0,6.0
https://fbref.com/en/players/00891164/Cedric-Hountondji,36,35,3095,0,0,0,0,0,0,7,0,5.0,84.0,1.0
https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,28,26,2286,2,1,3,2,0,0,9,1,34.0,120.0,13.0
https://fbref.com/en/players/009a4f60/Julian-Ryerson,30,29,2447,1,1,2,1,0,0,4,0,74.0,87.0,101.0
https://fbref.com/en/players/00a17eba/Samuele-Perisan,7,7,630,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/00a8d210/Przemyslaw-Frankowski,37,31,2833,5,3,8,2,3,3,4,0,51.0,132.0,237.0
https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,29,26,2053,0,0,0,0,0,0,3,0,13.0,42.0,29.0
https://fbref.com/en/players/00eba9c9/Selim-Amallah,7,3,267,2,1,3,2,0,0,2,1,11.0,10.0,9.0
https://fbref.com/en/players/00f518d8/Faride-Alidou,15,0,182,0,1,1,0,0,0,0,0,8.0,16.0,24.0
https://fbref.com/en/players/0107757e/Filip-Jorgensen,2,2,180,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/0118c54c/Anthony-Caci,31,23,2033,2,1,3,2,0,0,4,0,20.0,90.0,41.0
