CLUB_NAME,PLAYER_VALUE,LEAGUE_COUNTRY,CURRENT_INTERNATIONAL,AGE,HEIGHT,POSITION,FOOT,PLAYER_AGENT,OUTFITTER,MP_PLAYING,STARTS_PLAYING,MIN_PLAYING,GLS,AST,G+A,G_MINUS_PK,PK,PKATT,CRDY,CRDR,PRGC_PROGRESSION,PRGP_PROGRESSION,PRGR_PROGRESSION,SH_STANDARD,SOT_STANDARD,DIST_STANDARD,FK_STANDARD,TOUCHES_TOUCHES,DEF PEN_TOUCHES,DEF 3RD_TOUCHES,MID 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,LIVE_TOUCHES,ATT_TAKE,SUCC_TAKE,TKLD_TAKE,CARRIES_CARRIES,TOTDIST_CARRIES,PRGDIST_CARRIES,PRGC_CARRIES,FINAL_THIRD_CARRIES,CPA_CARRIES,MIS_CARRIES,DIS_CARRIES,REC_RECEIVING,PRGR_RECEIVING,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS,CMP_TOTAL,ATT_TOTAL,TOTDIST_TOTAL,PRGDIST_TOTAL,KP,FINAL_THIRD,PPA,CRSPA,2CRDY,FLS,FLD,OFF,CRS,TKLW,PKWON,PKCON,OG,RECOV,WON_AERIAL,LOST_AERIAL,SCA_SCA,GCA_GCA,TKL_TACKLES,TKLW_TACKLES,DEF 3RD_TACKLES,MID 3RD_TACKLES,ATT 3RD_TACKLES,TKL_CHALLENGES,ATT_CHALLENGES,LOST_CHALLENGES,BLOCKS_BLOCKS,SH_BLOCKS,PASS_BLOCKS,INT,TKL+INT,CLR,ERR,YEAR_BIRTH,ID
Manchester City,80000000.0,England,Portugal,26.0,1.87,Defender - Centre-Back,right,True,True,26.0,22.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,98.0,2.0,10.0,2.0,9.1,0.0,2237.0,176.0,881.0,1280.0,83.0,22.0,2237.0,10.0,8.0,1.0,1497.0,8194.0,5025.0,14.0,22.0,1.0,1.0,4.0,1791.0,2.0,19.0,4.0,6.0,2.65,65.0,16.0,49.0,1928.0,2080.0,35553.0,12572.0,3.0,135.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0,13.0,0.0,0.0,0.0,99.0,44.0,28.0,15.0,1.0,21.0,13.0,10.0,10.0,1.0,11.0,18.0,7.0,21.0,13.0,8.0,18.0,39.0,56.0,1.0,1997.0,258004
Manchester City,42000000.0,England,Netherlands,28.0,1.8,Defender - Centre-Back,left,True,True,26.0,22.0,1873.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,25.0,140.0,30.0,9.0,2.0,10.5,0.0,1959.0,86.0,615.0,1097.0,256.0,32.0,1959.0,5.0,3.0,1.0,1223.0,5455.0,3314.0,25.0,19.0,4.0,16.0,0.0,1492.0,30.0,16.0,4.0,4.0,2.23,53.0,15.0,38.0,1639.0,1813.0,26199.0,8953.0,9.0,165.0,9.0,1.0,0.0,12.0,14.0,1.0,15.0,12.0,0.0,0.0,0.0,96.0,36.0,23.0,24.0,2.0,26.0,12.0,15.0,9.0,2.0,11.0,15.0,4.0,20.0,10.0,10.0,20.0,46.0,48.0,0.0,1995.0,177476
Manchester City,40000000.0,England,England,29.0,1.88,Defender - Centre-Back,right,True,True,23.0,21.0,1846.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,28.0,101.0,34.0,11.0,3.0,13.4,0.0,1690.0,101.0,544.0,942.0,210.0,27.0,1690.0,10.0,6.0,1.0,1080.0,6201.0,3250.0,28.0,32.0,1.0,8.0,4.0,1312.0,34.0,16.0,2.0,6.0,2.52,52.0,17.0,35.0,1453.0,1563.0,24351.0,6789.0,8.0,109.0,3.0,0.0,0.0,10.0,8.0,1.0,6.0,13.0,0.0,0.0,1.0,90.0,33.0,16.0,16.0,5.0,23.0,13.0,11.0,8.0,4.0,7.0,10.0,3.0,17.0,10.0,7.0,9.0,32.0,40.0,0.0,1994.0,186590
Manchester City,38000000.0,England,Switzerland,27.0,1.88,Defender - Centre-Back,right,True,True,29.0,24.0,2287.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,116.0,17.0,15.0,2.0,15.9,0.0,2231.0,121.0,815.0,1248.0,176.0,34.0,2231.0,12.0,6.0,3.0,1544.0,8443.0,5039.0,24.0,40.0,1.0,12.0,3.0,1734.0,17.0,22.0,5.0,1.0,2.52,63.0,23.0,40.0,1912.0,2056.0,32634.0,10258.0,7.0,140.0,3.0,1.0,0.0,24.0,12.0,0.0,6.0,25.0,0.0,0.0,0.0,136.0,23.0,34.0,23.0,0.0,36.0,25.0,15.0,18.0,3.0,23.0,36.0,13.0,27.0,9.0,18.0,16.0,52.0,33.0,0.0,1995.0,284730
Manchester City,25000000.0,England,Spain,29.0,1.89,Defender - Centre-Back,left,False,True,12.0,11.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,85.0,11.0,10.0,1.0,14.9,0.0,1036.0,85.0,335.0,538.0,166.0,13.0,1036.0,4.0,2.0,1.0,702.0,4015.0,2882.0,30.0,44.0,0.0,3.0,0.0,806.0,11.0,10.0,1.0,15.0,2.33,21.0,10.0,11.0,892.0,964.0,14630.0,4347.0,5.0,87.0,7.0,0.0,0.0,5.0,7.0,1.0,6.0,8.0,0.0,0.0,0.0,55.0,24.0,19.0,17.0,0.0,11.0,8.0,6.0,4.0,1.0,7.0,11.0,4.0,10.0,4.0,6.0,3.0,14.0,30.0,1.0,1994.0,176553
Manchester City,13000000.0,England,Spain,22.0,1.71,Defender - Left-Back,left,True,False,12.0,2.0,349.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,20.0,7.0,0.0,22.1,0.0,358.0,16.0,75.0,198.0,87.0,10.0,358.0,3.0,0.0,3.0,203.0,1018.0,520.0,10.0,10.0,1.0,7.0,3.0,274.0,20.0,1.0,10.0,20.0,2.58,5.0,6.0,-1.0,279.0,317.0,4074.0,977.0,5.0,24.0,3.0,0.0,0.0,1.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,19.0,3.0,10.0,7.0,1.0,9.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,5.0,3.0,2.0,2.0,11.0,9.0,1.0,2000.0,366930
Manchester City,50000000.0,England,Portugal,29.0,1.82,Defender - Right-Back,right,True,True,32.0,27.0,2286.0,3.0,5.0,8.0,3.0,0.0,0.0,6.0,1.0,123.0,167.0,215.0,29.0,7.0,20.6,0.0,2377.0,51.0,449.0,1192.0,757.0,85.0,2377.0,125.0,64.0,49.0,1474.0,8592.0,4819.0,123.0,63.0,40.0,38.0,23.0,1721.0,215.0,15.0,5.0,4.0,2.155,64.0,31.0,33.0,1749.0,2081.0,28179.0,7419.0,25.0,135.0,57.0,15.0,0.0,23.0,33.0,7.0,80.0,35.0,0.0,2.0,0.0,164.0,43.0,23.0,74.0,16.0,52.0,35.0,25.0,19.0,8.0,27.0,47.0,20.0,21.0,3.0,18.0,34.0,86.0,31.0,1.0,1994.0,182712
Manchester City,20000000.0,England,England,18.0,1.69,Defender - Right-Back,right,True,False,14.0,10.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,48.0,26.0,5.0,2.0,21.1,0.0,742.0,26.0,133.0,416.0,199.0,12.0,742.0,14.0,8.0,3.0,511.0,2555.0,1390.0,22.0,24.0,3.0,7.0,13.0,593.0,26.0,6.0,4.0,23.0,2.29,18.0,8.0,10.0,617.0,675.0,8779.0,1476.0,12.0,38.0,10.0,3.0,0.0,10.0,18.0,0.0,5.0,9.0,0.0,0.0,0.0,43.0,0.0,6.0,27.0,0.0,16.0,9.0,9.0,5.0,2.0,6.0,11.0,5.0,8.0,4.0,4.0,6.0,22.0,13.0,1.0,2004.0,701057
Manchester City,13000000.0,England,England,33.0,1.83,Defender - Right-Back,right,True,True,27.0,22.0,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,162.0,75.0,5.0,1.0,24.8,0.0,1996.0,57.0,438.0,1198.0,370.0,15.0,1996.0,19.0,13.0,4.0,1189.0,5455.0,2900.0,50.0,40.0,2.0,14.0,6.0,1542.0,75.0,18.0,5.0,5.0,2.37,54.0,20.0,34.0,1661.0,1892.0,29177.0,8283.0,6.0,189.0,10.0,4.0,0.0,15.0,10.0,0.0,28.0,9.0,0.0,0.0,0.0,124.0,23.0,11.0,25.0,3.0,13.0,9.0,8.0,5.0,0.0,4.0,24.0,20.0,12.0,2.0,10.0,18.0,31.0,22.0,0.0,1990.0,95424
Manchester City,90000000.0,England,Spain,27.0,1.91,midfield - Defensive Midfield,right,True,True,36.0,34.0,2911.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,76.0,260.0,37.0,50.0,14.0,17.1,0.0,3272.0,119.0,706.0,1993.0,592.0,62.0,3272.0,37.0,25.0,8.0,2004.0,10293.0,5622.0,76.0,72.0,3.0,21.0,19.0,2511.0,37.0,23.0,2.0,1.0,2.39,83.0,26.0,57.0,2723.0,2987.0,49949.0,11936.0,32.0,265.0,33.0,3.0,0.0,47.0,20.0,3.0,6.0,41.0,0.0,0.0,0.0,301.0,72.0,32.0,92.0,10.0,67.0,41.0,28.0,28.0,11.0,26.0,52.0,26.0,40.0,14.0,26.0,33.0,100.0,43.0,1.0,1996.0,357565
