CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE,UrlFBref
Manchester City,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,Premier League,England,Brazil,€40.00m,https://fbref.com/en/players/3bb7b8b4/Ederson
Manchester City,S. Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,Premier League,England,Germany,€9.00m,https://fbref.com/en/players/c1242d4e/Stefan-Ortega
Manchester City,Z. Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,Premier League,England,United States,€3.50m,https://fbref.com/en/players/42130443/Zack-Steffen
Manchester City,S. Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,Premier League,England,England,€200k,https://fbref.com/en/players/3e1550ee/Scott-Carson
Manchester City,R. Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Premier League,England,Portugal,€80.00m,https://fbref.com/en/players/31c69ef1/Ruben-Dias
Manchester City,N. Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Premier League,England,Netherlands,€42.00m,https://fbref.com/en/players/eaeca114/Nathan-Ake
Manchester City,J. Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,Premier League,England,England,€40.00m,https://fbref.com/en/players/5eecec3d/John-Stones
Manchester City,M. Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,Premier League,England,Switzerland,€38.00m,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Manchester City,A. Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,Premier League,England,Spain,€25.00m,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte
Manchester City,L. Mbete,https://www.transfermarkt.com/luke-mbete/profil/spieler/609883,Premier League,England,England,€2.00m,https://fbref.com/en/players/387e1d35/Luke-Mbete-Tatu
Manchester City,S. Gómez,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,Premier League,England,Spain,€13.00m,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
Manchester City,J. Wilson-Esbrand,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,Premier League,England,England,€1.50m,https://fbref.com/en/players/c19a2df1/Josh-Wilson-Esbrand
Manchester City,B. Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,Premier League,England,France,-,https://fbref.com/en/players/5271c8f1/Benjamin-Mendy
Manchester City,J. Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,Premier League,England,Portugal,€50.00m,https://fbref.com/en/players/bd6351cd/Joao-Cancelo
Manchester City,R. Lewis,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,Premier League,England,England,€20.00m,https://fbref.com/en/players/b57e066e/Rico-Lewis
Manchester City,K. Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,Premier League,England,England,€13.00m,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Manchester City,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,Premier League,England,Spain,€90.00m,https://fbref.com/en/players/6434f10d/Rodri
Manchester City,K. Phillips,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,Premier League,England,England,€32.00m,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
Manchester City,M. Perrone,https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,Premier League,England,Argentina,€10.00m,https://fbref.com/en/players/53552942/Maximo-Perrone
Manchester City,C. Gomes,https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,Premier League,England,France,€1.40m,https://fbref.com/en/players/22f6ed2c/Claudio-Gomes
Manchester City,S. Charles,https://www.transfermarkt.com/shea-charles/profil/spieler/747951,Premier League,England,Northern Ireland,,
Manchester City,I. Gündogan,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,Premier League,England,Germany,€20.00m,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
Manchester City,A. Robertson,https://www.transfermarkt.com/alex-robertson/profil/spieler/609887,Premier League,England,Australia,€50k,
Manchester City,B. Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,England,Portugal,€80.00m,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Manchester City,K. De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,Premier League,England,Belgium,€70.00m,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Manchester City,C. Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,Premier League,England,England,€15.00m,https://fbref.com/en/players/dc7f8a28/Cole-Palmer
Manchester City,N. O'Reilly,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,Premier League,England,England,,
Manchester City,P. Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,Premier League,England,England,€110.00m,https://fbref.com/en/players/ed1e53f3/Phil-Foden
Manchester City,J. Grealish,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,Premier League,England,England,€75.00m,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Manchester City,R. Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Premier League,England,Algeria,€20.00m,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez
Manchester City,B. Knight,https://www.transfermarkt.com/ben-knight/profil/spieler/568007,Premier League,England,England,€300k,
Manchester City,E. Haaland,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,Premier League,England,Norway,€180.00m,https://fbref.com/en/players/1f44ac21/Erling-Haaland
Manchester City,J. Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,Premier League,England,Argentina,€60.00m,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
Manchester City,L. Delap,https://www.transfermarkt.com/liam-delap/profil/spieler/610849,Premier League,England,England,€5.00m,https://fbref.com/en/players/dd897ee7/Liam-Delap
Arsenal FC,A. Ramsdale,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,Premier League,England,England,€40.00m,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
Arsenal FC,M. Turner,https://www.transfermarkt.com/matt-turner/profil/spieler/425306,Premier League,England,United States,€8.00m,https://fbref.com/en/players/4a51ba65/Matt-Turner
Arsenal FC,Karl Hein,https://www.transfermarkt.com/karl-hein/profil/spieler/493513,Premier League,England,Estonia,€1.50m,https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein
Arsenal FC,J. Hillson,https://www.transfermarkt.com/james-hillson/profil/spieler/503765,Premier League,England,England,,
Arsenal FC,W. Saliba,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,Premier League,England,France,€65.00m,https://fbref.com/en/players/972aeb2a/William-Saliba
Arsenal FC,G. Magalhães,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,Premier League,England,Brazil,€55.00m,
Arsenal FC,J. Kiwior,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918,Premier League,England,Poland,€25.00m,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
Arsenal FC,A. Trusty,https://www.transfermarkt.com/auston-trusty/profil/spieler/389253,Premier League,England,United States,€10.00m,https://fbref.com/en/players/cddf767b/Auston-Trusty
Arsenal FC,R. Holding,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,Premier League,England,England,€8.00m,https://fbref.com/en/players/d79a8c87/Rob-Holding
Arsenal FC,O. Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,Premier League,England,Ukraine,€42.00m,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
Arsenal FC,K. Tierney,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,Premier League,England,Scotland,€25.00m,https://fbref.com/en/players/fce2302c/Kieran-Tierney
Arsenal FC,L. Sousa,https://www.transfermarkt.com/lino-sousa/profil/spieler/743414,Premier League,England,England,€500k,
Arsenal FC,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,England,England,€55.00m,https://fbref.com/en/players/35e413f1/Ben-White
Arsenal FC,T. Tomiyasu,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,Premier League,England,Japan,€25.00m,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
Arsenal FC,C. Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,Premier League,England,Portugal,€3.00m,https://fbref.com/en/players/839c14e1/Cedric-Soares
