,Data Types
CLUB_NAME,object
PLAYER_VALUE,float64
LEAGUE_COUNTRY,object
CURRENT_INTERNATIONAL,object
AGE,float64
HEIGHT,float64
POSITION,object
FOOT,object
PLAYER_AGENT,bool
OUTFITTER,bool
MP_PLAYING,float64
STARTS_PLAYING,float64
MIN_PLAYING,float64
GLS,float64
AST,float64
G+A,float64
G_MINUS_PK,float64
PK,float64
PKATT,float64
CRDY,float64
CRDR,float64
PRGC_PROGRESSION,float64
PRGP_PROGRESSION,float64
PRGR_PROGRESSION,float64
SH_STANDARD,float64
SOT_STANDARD,float64
DIST_STANDARD,float64
FK_STANDARD,float64
TOUCHES_TOUCHES,float64
DEF PEN_TOUCHES,float64
DEF 3RD_TOUCHES,float64
MID 3RD_TOUCHES,float64
ATT 3RD_TOUCHES,float64
ATT PEN_TOUCHES,float64
LIVE_TOUCHES,float64
ATT_TAKE,float64
SUCC_TAKE,float64
TKLD_TAKE,float64
CARRIES_CARRIES,float64
TOTDIST_CARRIES,float64
PRGDIST_CARRIES,float64
PRGC_CARRIES,float64
FINAL_THIRD_CARRIES,float64
CPA_CARRIES,float64
MIS_CARRIES,float64
DIS_CARRIES,float64
REC_RECEIVING,float64
PRGR_RECEIVING,float64
COMPL_STARTS,float64
SUBS_SUBS,float64
UNSUB_SUBS,float64
PPM_TEAM.SUCCESS,float64
ONG_TEAM.SUCCESS,float64
ONGA_TEAM.SUCCESS,float64
PLUS_PER__MINUS__TEAM.SUCCESS,float64
CMP_TOTAL,float64
ATT_TOTAL,float64
TOTDIST_TOTAL,float64
PRGDIST_TOTAL,float64
KP,float64
FINAL_THIRD,float64
PPA,float64
CRSPA,float64
2CRDY,float64
FLS,float64
FLD,float64
OFF,float64
CRS,float64
TKLW,float64
PKWON,float64
PKCON,float64
OG,float64
RECOV,float64
WON_AERIAL,float64
LOST_AERIAL,float64
SCA_SCA,float64
GCA_GCA,float64
TKL_TACKLES,float64
TKLW_TACKLES,float64
DEF 3RD_TACKLES,float64
MID 3RD_TACKLES,float64
ATT 3RD_TACKLES,float64
TKL_CHALLENGES,float64
ATT_CHALLENGES,float64
LOST_CHALLENGES,float64
BLOCKS_BLOCKS,float64
SH_BLOCKS,float64
PASS_BLOCKS,float64
INT,float64
TKL+INT,float64
CLR,float64
ERR,float64
YEAR_BIRTH,float64
ID,object
