"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2023,"Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","33",1989,31.1,60,8,1,10,1,47.7,0.3,-11.3,-0.36,213,522,40.8,657,77,52.4,38.5,212,84,52.1,389,18,4.6,54,1.74,16.9,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
2023,"Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK","19",2002,0.9,0,0,0,0,0,0.8,0.24,0.8,0.93,6,24,25,26,2,61.5,43.8,8,100,61,25,2,8,0,0,7.5,"https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini"
2023,"Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK","28",1994,6,14,1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.8,102,11,56.9,40.7,40,72.5,48.2,93,6,6.5,6,1,11.5,"https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro"
2023,"Almería","La Liga","Fernando","ESP","GK","32",1990,36.5,61,4,1,4,1,60.5,0.29,0.5,0.01,199,557,35.7,967,211,39.1,36.9,341,52.5,42.9,614,39,6.4,26,0.71,12.4,"https://fbref.com/en/players/dabb2827/Fernando"
2023,"Almería","La Liga","Diego Mariño","ESP","GK","32",1990,0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.7,3,1,33.3,35.7,5,40,45.6,12,0,0,0,0,7,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2023,"Almería","La Liga","Fernando Pacheco","ESP","GK","30",1992,1,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25,26,8,42.3,40.2,4,25,36,16,1,6.3,2,2,14.5,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2023,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","25",1997,27,62,8,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,39.5,34.6,185,55.1,42.6,357,21,5.9,18,0.67,11.4,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
2023,"Angers","Ligue 1","Yahia Fofana","FRA","GK","21",2000,11,19,1,0,3,1,16.4,0.27,-1.6,-0.14,33,125,26.4,256,70,35.2,33.6,69,50.7,41.7,143,17,11.9,9,0.82,11.8,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2023,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","24",1998,38,43,3,0,6,1,40,0.28,-2,-0.05,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2023,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","29",1992,34.9,38,4,1,6,4,36.6,0.24,2.6,0.07,199,523,38,1171,135,35.5,33,212,50.5,40.7,483,60,12.4,73,2.09,16.6,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2023,"Aston Villa","Premier League","Robin Olsen","SWE","GK","32",1990,3.1,8,1,0,3,0,6.2,0.29,-1.8,-0.57,15,62,24.2,101,18,44.6,37.6,28,60.7,46.8,45,5,11.1,3,0.96,14.2,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2023,"Atalanta","Serie A","Juan Musso","ARG","GK","28",1994,23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.5,547,152,32.5,32.1,157,62.4,48.6,253,14,5.5,24,1.04,15.6,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2023,"Atalanta","Serie A","Francesco Rossi","ITA","GK","31",1991,0,0,0,0,0,0,0,NA,0,0,0,1,0,3,0,0,17.3,1,100,65,1,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
2023,"Atalanta","Serie A","Marco Sportiello","ITA","GK","30",1992,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.1,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9,18,1.21,15,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
2023,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","21",2000,7.5,6,0,0,0,0,5.5,0.3,-0.5,-0.06,37,101,36.6,179,33,29.6,30.5,62,77.4,55.4,96,11,11.5,10,1.33,15.4,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
2023,"Athletic Club","La Liga","Unai Simón","ESP","GK","25",1997,30.5,37,3,1,1,3,31.7,0.28,-2.3,-0.08,134,351,38.2,762,154,30.6,33.2,186,63.4,49.4,355,18,5.1,40,1.31,17.5,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
2023,"Atlético Madrid","La Liga","Antonio Gomis","ESP","GK","19",2003,0.1,1,0,0,0,0,0.6,0.64,-0.4,-5.35,0,3,0,2,0,100,58.5,1,100,94,3,0,0,0,0,1,"https://fbref.com/en/players/f0f4671c/Antonio-Gomis"
2023,"Atlético Madrid","La Liga","Ivo Grbić","CRO","GK","26",1996,10.2,12,3,0,4,0,13.8,0.23,1.8,0.17,46,148,31.1,230,50,37.4,34.1,99,62.6,47.4,214,23,10.7,7,0.68,9.2,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
2023,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","29",1993,27.7,20,1,1,1,0,21.9,0.27,1.9,0.07,120,374,32.1,586,115,40.4,36.1,228,60.1,46,358,25,7,19,0.69,14.2,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2023,"Augsburg","Bundesliga","Rafał Gikiewicz","POL","GK","34",1987,23,41,1,1,4,0,41.3,0.28,0.3,0.01,185,452,40.9,916,127,33.3,33,234,62.8,48.9,363,21,5.8,45,1.96,16.7,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz"
2023,"Augsburg","Bundesliga","Tomáš Koubek","CZE","GK","29",1992,11,22,0,1,0,2,22,0.36,2,0.19,77,225,34.2,414,48,37.9,36.5,96,70.8,52.5,176,10,5.7,22,2,16.8,"https://fbref.com/en/players/dc366c36/Tomas-Koubek"
2023,"Auxerre","Ligue 1","Benoît Costil","FRA","GK","35",1987,19,41,3,0,3,0,34,0.33,-7,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
2023,"Auxerre","Ligue 1","Donovan Léon","GUF","GK","29",1992,2,2,1,0,0,0,1.9,0.13,-0.1,-0.03,19,57,33.3,55,8,63.6,46.4,24,91.7,66.1,41,0,0,2,1,12.9,"https://fbref.com/en/players/51c83a90/Donovan-Leon"
2023,"Auxerre","Ligue 1","Ionuț Radu","ROU","GK","25",1997,17,20,0,0,0,1,21.9,0.27,2.9,0.17,117,349,33.5,469,65,52.9,41.3,128,78.9,53.1,273,14,5.1,13,0.76,12.9,"https://fbref.com/en/players/67f649be/Ionut-Radu"
