Url,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,PrgP
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,448,686,7834,3413,51
https://fbref.com/en/players/a94d93be/Cedric-Avinel,607,714,12003,4107,31
https://fbref.com/en/players/e3844ecb/Mickael-Barreto,481,695,9089,3373,87
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,399,654,6041,2291,66
https://fbref.com/en/players/1a248246/Youcef-Belaili,328,458,5637,2159,55
https://fbref.com/en/players/65fcf987/Kouame-Botue,33,47,386,141,4
https://fbref.com/en/players/5d9577aa/Florian-Chabrolle,120,138,1822,345,14
https://fbref.com/en/players/1237c049/Ivane-Chegra,21,40,447,232,7
https://fbref.com/en/players/7495aba7/Yanis-Cimignani,75,113,1245,267,0
https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur,1006,1197,16929,4490,110
https://fbref.com/en/players/b3244eeb/Ismael-Diallo,804,1078,14552,5879,70
https://fbref.com/en/players/627b570a/Moussa-Djitte,24,32,275,43,2
https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez,899,1102,17387,4963,54
https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure,28,36,362,55,1
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,263,364,3933,1204,47
https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy,413,622,5248,987,40
https://fbref.com/en/players/3670aa71/Anthony-Khelifa,11,12,215,55,1
https://fbref.com/en/players/e6eadfb8/Youssouf-Kone,322,426,5724,2090,23
https://fbref.com/en/players/eb0db257/Qazim-Laci,111,142,2278,691,24
https://fbref.com/en/players/5bf26efc/Paolo-Lebas,12,16,208,72,2
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,533,875,18415,15715,1
https://fbref.com/en/players/17e25e72/Ruan-Levine,13,14,198,27,1
https://fbref.com/en/players/c801616a/Thomas-Mangani,634,910,12908,4783,92
https://fbref.com/en/players/740f00ac/Vincent-Marchetti,837,1057,14335,4323,143
https://fbref.com/en/players/b20cc590/Fernand-Mayembo,275,320,5471,1472,11
https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko,90,163,1205,235,10
https://fbref.com/en/players/374fbf7d/Riad-Nouri,425,627,6625,2227,39
https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz,22,28,375,122,4
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,14,34,511,427,0
https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,68,142,2073,1580,0
https://fbref.com/en/players/86a49468/Moussa-Soumano,43,67,514,74,1
https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda,212,264,3060,542,17
https://fbref.com/en/players/4ca4f263/Tony-Strata,29,37,453,124,2
https://fbref.com/en/players/4e47507a/Yoann-Touzghar,80,112,968,196,7
https://fbref.com/en/players/b2791a55/Clement-Vidal,604,785,12836,5788,61
https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf,932,1279,14905,7094,91
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,821,1061,13314,5012,58
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,1172,1373,23290,8365,63
https://fbref.com/en/players/35f6db55/Leo-Baptistao,359,540,5742,1514,51
https://fbref.com/en/players/47c609d5/El-Bilal-Toure,183,258,2226,311,14
https://fbref.com/en/players/2475cf9b/Juan-Brandariz,664,806,11229,4521,32
https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo,3,4,49,2,0
https://fbref.com/en/players/ae852b7d/Alex-Centelles,412,577,7029,2965,35
https://fbref.com/en/players/76c2a023/Samu-Costa,864,1097,15886,5134,91
https://fbref.com/en/players/f9a225f5/Curro,21,28,310,133,1
https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras,458,543,7955,2756,61
https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely,1197,1475,26201,10151,52
https://fbref.com/en/players/db8f0eba/Adri-Embarba,356,557,6340,1897,47
https://fbref.com/en/players/dabb2827/Fernando,919,1313,27494,20366,0
