"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2023,"Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF","33",1989,15.1,686,527,157,8,0,0,27,149,0,0,0,0,448,2,21,"https://fbref.com/en/players/0a63446f/Mickael-Alphonse"
2023,"Ajaccio","Ligue 1","Cédric Avinel","GLP","DF","35",1986,19.9,714,693,21,21,0,1,0,0,0,0,0,0,607,0,2,"https://fbref.com/en/players/a94d93be/Cedric-Avinel"
2023,"Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF","31",1991,14.7,695,607,83,46,2,4,76,12,24,9,11,0,481,5,14,"https://fbref.com/en/players/e3844ecb/Mickael-Barreto"
2023,"Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF","26",1996,22.3,654,615,35,1,5,0,44,34,0,0,0,0,399,4,32,"https://fbref.com/en/players/20e0dd86/Cyrille-Bayala"
2023,"Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW","30",1992,12.8,458,397,56,22,5,2,42,12,15,4,6,0,328,5,13,"https://fbref.com/en/players/1a248246/Youcef-Belaili"
2023,"Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF","19",2002,2.5,47,47,0,0,0,0,0,0,0,0,0,0,33,0,1,"https://fbref.com/en/players/65fcf987/Kouame-Botue"
2023,"Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF","24",1998,3.7,138,134,4,3,0,0,1,0,0,0,0,0,120,0,0,"https://fbref.com/en/players/5d9577aa/Florian-Chabrolle"
2023,"Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW","18",2004,2.1,40,37,3,0,1,0,4,0,3,0,3,0,21,0,2,"https://fbref.com/en/players/1237c049/Ivane-Chegra"
2023,"Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF","20",2002,3.1,113,101,11,1,0,0,10,9,1,1,0,0,75,1,6,"https://fbref.com/en/players/7495aba7/Yanis-Cimignani"
2023,"Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF","36",1986,21.6,1197,1133,59,57,6,7,5,2,0,0,0,0,1006,5,15,"https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur"
2023,"Ajaccio","Ligue 1","Ismael Diallo","CIV","DF","25",1997,24.2,1078,882,193,11,4,5,35,182,0,0,0,0,804,3,25,"https://fbref.com/en/players/b3244eeb/Ismael-Diallo"
2023,"Ajaccio","Ligue 1","Moussa Djitte","SEN","FW","22",1999,1.5,32,32,0,0,0,0,0,0,0,0,0,0,24,0,1,"https://fbref.com/en/players/627b570a/Moussa-Djitte"
2023,"Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF","24",1998,28.6,1102,1058,43,41,1,1,3,2,0,0,0,0,899,1,5,"https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez"
2023,"Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW","18",2003,2.3,36,30,6,0,0,0,0,0,0,0,0,0,28,0,1,"https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure"
2023,"Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF","35",1987,12,364,305,57,13,0,1,54,7,20,4,14,0,263,2,13,"https://fbref.com/en/players/0b4d8274/Romain-Hamouma"
2023,"Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW","23",1999,27.7,622,560,57,1,1,2,20,3,0,0,0,0,413,5,20,"https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy"
2023,"Ajaccio","Ligue 1","Anthony Khelifa","FRA","DF","16",2005,0.1,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0,"https://fbref.com/en/players/3670aa71/Anthony-Khelifa"
2023,"Ajaccio","Ligue 1","Youssouf Koné","MLI","DF","27",1995,10.2,426,355,70,9,0,2,27,61,0,0,0,0,322,1,7,"https://fbref.com/en/players/e6eadfb8/Youssouf-Kone"
2023,"Ajaccio","Ligue 1","Qazim Laçi","ALB","MF","26",1996,2.4,142,134,8,5,0,1,8,0,3,1,2,0,111,0,2,"https://fbref.com/en/players/eb0db257/Qazim-Laci"
2023,"Ajaccio","Ligue 1","Paolo Lebas","POR","MF","19",2003,0.6,16,15,1,1,0,0,0,0,0,0,0,0,12,0,0,"https://fbref.com/en/players/5bf26efc/Paolo-Lebas"
2023,"Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","33",1989,31.1,875,526,343,131,0,0,0,0,0,0,0,0,533,6,0,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
2023,"Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW","23",1999,0.3,14,14,0,0,0,0,0,0,0,0,0,0,13,0,1,"https://fbref.com/en/players/17e25e72/Ruan-Levine"
2023,"Ajaccio","Ligue 1","Thomas Mangani","FRA","MF","35",1987,14.8,910,783,122,74,2,9,79,3,45,22,17,0,634,5,19,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
2023,"Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF","25",1997,27.2,1057,1031,22,14,11,16,6,8,0,0,0,0,837,4,31,"https://fbref.com/en/players/740f00ac/Vincent-Marchetti"
2023,"Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF","26",1996,7.9,320,308,12,11,0,1,0,0,0,0,0,0,275,0,2,"https://fbref.com/en/players/b20cc590/Fernand-Mayembo"
2023,"Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW","27",1995,7.8,163,150,11,0,0,0,4,0,0,0,0,0,90,2,7,"https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko"
2023,"Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW","37",1985,18.8,627,577,45,19,0,3,86,11,15,1,12,0,425,5,27,"https://fbref.com/en/players/374fbf7d/Riad-Nouri"
2023,"Ajaccio","Ligue 1","Mehdi Puch Herrantz","FRA","MF","18",2004,0.5,28,28,0,0,0,0,0,0,0,0,0,0,22,0,0,"https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz"
2023,"Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK","19",2002,0.9,34,20,14,6,0,0,0,0,0,0,0,0,14,0,0,"https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini"
2023,"Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK","28",1994,6,142,80,62,22,0,0,0,0,0,0,0,0,68,0,0,"https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro"
2023,"Ajaccio","Ligue 1","Moussa Soumano","FRA","FW","17",2005,5.5,67,57,8,0,1,0,1,0,0,0,0,0,43,2,4,"https://fbref.com/en/players/86a49468/Moussa-Soumano"
2023,"Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW","25",1997,11.8,264,251,13,1,0,1,5,11,0,0,0,0,212,0,5,"https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda"
2023,"Ajaccio","Ligue 1","Tony Strata","FRA","MF,DF","17",2004,1.5,37,29,8,1,0,0,0,7,0,0,0,0,29,0,0,"https://fbref.com/en/players/4ca4f263/Tony-Strata"
2023,"Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW","35",1986,5,112,106,6,0,0,0,2,0,0,0,0,0,80,0,9,"https://fbref.com/en/players/4e47507a/Yoann-Touzghar"
2023,"Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF","22",2000,21.1,785,749,35,21,0,1,3,14,0,0,0,0,604,1,10,"https://fbref.com/en/players/b2791a55/Clement-Vidal"
2023,"Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF","34",1988,27.3,1279,986,289,21,0,0,89,268,0,0,0,0,932,4,54,"https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf"
2023,"Almería","La Liga","Sergio Akieme","ESP","DF","24",1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2023,"Almería","La Liga","Srđan Babić","SRB","DF","26",1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2023,"Almería","La Liga","Léo Baptistão","BRA","FW,MF","29",1992,19.2,540,526,11,2,6,7,18,8,0,0,0,0,359,3,25,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2023,"Almería","La Liga","El Bilal Touré","MLI","FW","20",2001,14,258,231,25,0,0,0,4,0,0,0,0,0,183,2,8,"https://fbref.com/en/players/47c609d5/El-Bilal-Toure"
2023,"Almería","La Liga","Juan Brandáriz","ESP","DF","23",1999,16.5,806,697,107,28,0,3,8,75,0,0,0,0,664,2,14,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2023,"Almería","La Liga","José Carlos Lazo","ESP","MF,FW","26",1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,"https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo"
2023,"Almería","La Liga","Álex Centelles","ESP","DF","24",1997,12.5,577,446,130,24,0,4,46,106,0,0,0,0,412,1,20,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2023,"Almería","La Liga","Samu Costa","POR","MF","21",2000,22.1,1097,1048,41,37,4,12,8,4,0,0,0,0,864,8,28,"https://fbref.com/en/players/76c2a023/Samu-Costa"
2023,"Almería","La Liga","Curro","ESP","MF","26",1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1,"https://fbref.com/en/players/f9a225f5/Curro"
2023,"Almería","La Liga","Íñigo Eguaras","ESP","MF","30",1992,10.7,543,524,15,11,5,5,3,1,2,0,0,0,458,4,7,"https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras"
2023,"Almería","La Liga","Rodrigo Ely","BRA","DF","28",1993,35.1,1475,1393,78,75,2,16,3,2,0,0,0,0,1197,4,6,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2023,"Almería","La Liga","Adri Embarba","ESP","FW,MF","30",1992,16.4,557,474,80,15,0,7,127,7,58,29,17,1,356,3,24,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2023,"Almería","La Liga","Fernando","ESP","GK","32",1990,36.5,1313,836,472,131,0,2,0,0,0,0,0,0,919,5,1,"https://fbref.com/en/players/dabb2827/Fernando"
2023,"Almería","La Liga","Luis Javier Suárez","COL","FW","24",1997,16.6,386,343,42,1,2,5,11,4,1,0,1,0,266,1,7,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2023,"Almería","La Liga","Kaiky","BRA","DF","18",2004,6.5,224,208,16,15,0,9,1,1,0,0,0,0,182,0,2,"https://fbref.com/en/players/55634fb8/Kaiky"
2023,"Almería","La Liga","César de la Hoz","ESP","MF","30",1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7,"https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz"
2023,"Almería","La Liga","Lázaro","BRA","FW,MF","20",2002,8,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5,"https://fbref.com/en/players/86ff856b/Lazaro"
2023,"Almería","La Liga","Diego Mariño","ESP","GK","32",1990,0.5,8,2,6,1,0,0,0,0,0,0,0,0,7,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2023,"Almería","La Liga","Gonzalo Melero","ESP","MF","28",1994,20.6,755,736,17,9,1,4,2,3,0,0,0,0,652,2,15,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
2023,"Almería","La Liga","Houboulang Mendes","FRA","DF","24",1998,9.8,335,238,96,4,0,0,31,92,0,0,0,0,239,1,9,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2023,"Almería","La Liga","Marko Milovanović","SRB","FW","18",2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
2023,"Almería","La Liga","Fernando Pacheco","ESP","GK","30",1992,1,31,22,8,4,0,0,0,0,0,0,0,0,20,1,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2023,"Almería","La Liga","Francisco Portillo","ESP","MF,FW","32",1990,8,459,436,20,5,6,1,12,8,7,1,3,0,365,3,13,"https://fbref.com/en/players/8e010ff4/Francisco-Portillo"
2023,"Almería","La Liga","Alejandro Pozo Pozo","ESP","DF","23",1999,20.9,1117,912,197,13,0,5,70,184,0,0,0,0,814,8,32,"https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo"
2023,"Almería","La Liga","Arnau Puigmal","ESP","MF,FW","21",2001,8.5,274,237,35,3,4,0,18,23,9,0,3,0,193,2,9,"https://fbref.com/en/players/39352da2/Arnau-Puigmal"
2023,"Almería","La Liga","Largie Ramazani","BEL","FW,MF","21",2001,15.6,291,266,20,1,3,1,20,7,1,1,0,0,195,5,18,"https://fbref.com/en/players/cc9256ef/Largie-Ramazani"
2023,"Almería","La Liga","Lucas Robertone","ARG","MF","25",1997,31.6,1364,1211,147,68,10,15,137,12,64,25,34,0,1051,6,18,"https://fbref.com/en/players/a8981944/Lucas-Robertone"
2023,"Almería","La Liga","Umar Sadiq","NGA","FW","25",1997,2.7,36,32,3,0,0,0,0,1,0,0,0,0,22,1,2,"https://fbref.com/en/players/686cbe7d/Umar-Sadiq"
2023,"Almería","La Liga","Dyego Sousa","POR","FW","32",1989,5.9,160,150,9,0,1,0,1,1,0,0,0,0,107,1,7,"https://fbref.com/en/players/e4738e91/Dyego-Sousa"
2023,"Angers","Ligue 1","Himad Abdelli","ALG","MF,FW","22",1999,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22,"https://fbref.com/en/players/7978cbf0/Himad-Abdelli"
2023,"Angers","Ligue 1","Ibrahim Amadou","FRA","DF,MF","29",1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5,"https://fbref.com/en/players/9260926b/Ibrahim-Amadou"
2023,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF","32",1990,15.2,721,651,70,17,2,0,19,53,0,0,0,0,619,0,10,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba"
2023,"Angers","Ligue 1","Nabil Bentaleb","ALG","MF","27",1994,27.7,1853,1660,185,123,7,20,96,1,61,49,11,0,1512,8,22,"https://fbref.com/en/players/3189f61a/Nabil-Bentaleb"
2023,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","25",1997,27,667,416,248,63,0,0,0,0,0,0,0,0,438,3,1,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
2023,"Angers","Ligue 1","Miha Blažič","SVN","DF","29",1993,22,1182,1129,52,48,1,5,1,3,0,0,0,0,1034,1,1,"https://fbref.com/en/players/3cdfc63e/Miha-Blazic"
2023,"Angers","Ligue 1","Antonin Bobichon","FRA","MF","26",1995,0.2,20,19,1,0,1,0,2,0,1,1,0,0,12,0,2,"https://fbref.com/en/players/7d937aa1/Antonin-Bobichon"
2023,"Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF","28",1993,9.3,487,446,39,11,4,6,37,10,16,10,0,0,370,2,13,"https://fbref.com/en/players/b0c71810/Sofiane-Boufal"
2023,"Angers","Ligue 1","Ousmane Camara","FRA","DF","19",2003,5.8,363,354,7,6,0,1,0,1,0,0,0,0,330,2,5,"https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara"
2023,"Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF","35",1987,15.9,714,651,63,12,0,4,46,21,29,16,8,0,590,0,10,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle"
2023,"Angers","Ligue 1","Ilyes Cheti","ALG","DF","27",1995,2.3,118,99,19,0,0,0,5,19,0,0,0,0,102,0,2,"https://fbref.com/en/players/9d498560/Ilyes-Cheti"
2023,"Angers","Ligue 1","Lois Diony","FRA","FW","29",1992,5.6,142,127,15,0,0,1,3,2,0,0,0,0,109,0,3,"https://fbref.com/en/players/4be0b467/Lois-Diony"
2023,"Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW","25",1996,19.9,952,779,173,16,0,0,48,154,3,3,0,0,762,0,26,"https://fbref.com/en/players/9daeac61/Souleyman-Doumbia"
2023,"Angers","Ligue 1","Yahia Fofana","FRA","GK","21",2000,11,325,229,96,27,0,0,0,0,0,0,0,0,227,0,0,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2023,"Angers","Ligue 1","Faouzi Ghoulam","ALG","DF","31",1991,5.3,329,242,86,22,0,1,38,48,15,3,12,0,233,1,10,"https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam"
2023,"Angers","Ligue 1","Cédric Hountondji","BEN","DF","28",1994,34.4,1446,1400,44,38,0,8,2,6,0,0,0,0,1251,2,6,"https://fbref.com/en/players/00891164/Cedric-Hountondji"
2023,"Angers","Ligue 1","Adrien Hunou","FRA","MF,FW","28",1994,24.8,753,712,34,2,2,1,16,13,4,1,1,0,572,7,17,"https://fbref.com/en/players/d14229f3/Adrien-Hunou"
2023,"Angers","Ligue 1","Marin Jakoliš","CRO","FW","25",1996,0.3,7,6,1,0,0,0,2,0,1,0,1,0,4,0,0,"https://fbref.com/en/players/96f4ebc0/Marin-Jakolis"
2023,"Angers","Ligue 1","Justin-Noël Kalumba","FRA","DF","17",2004,6.1,164,152,12,0,0,0,13,10,2,1,1,0,131,0,9,"https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba"
2023,"Angers","Ligue 1","Jean Mattéo Bahoya","FRA","FW,MF","17",2005,3,82,81,1,0,0,0,2,0,1,0,0,0,69,0,2,"https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya"
2023,"Angers","Ligue 1","Jason Mbock","FRA","MF,FW","22",1999,0.3,10,6,4,0,0,0,4,1,2,2,0,0,6,0,1,"https://fbref.com/en/players/890bc029/Jason-Mbock"
2023,"Angers","Ligue 1","Farid El Melali","ALG","DF,FW","25",1997,9,282,241,38,2,0,2,16,33,3,1,0,0,196,3,13,"https://fbref.com/en/players/d21e361a/Farid-El-Melali"
2023,"Angers","Ligue 1","Batista Mendy","FRA","MF,DF","22",2000,31.8,1432,1399,29,27,4,13,9,2,0,0,0,0,1234,4,18,"https://fbref.com/en/players/e472a6f6/Batista-Mendy"
2023,"Angers","Ligue 1","Ibrahima Niane","SEN","FW","23",1999,12.6,232,206,25,1,2,3,7,2,0,0,0,0,175,1,6,"https://fbref.com/en/players/46faabfa/Ibrahima-Niane"
2023,"Angers","Ligue 1","Zinédine Ould Khaled","FRA","MF,FW","22",2000,0.6,36,36,0,0,0,0,0,0,0,0,0,0,34,0,0,"https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled"
2023,"Angers","Ligue 1","Azzedine Ounahi","MAR","MF,FW","22",2000,12.5,630,603,24,13,2,7,17,4,5,4,0,0,542,3,11,"https://fbref.com/en/players/83299cc0/Azzedine-Ounahi"
2023,"Angers","Ligue 1","Lilian Raolisoa","FRA","DF,MF","22",2000,1.9,119,103,16,2,1,1,10,13,1,1,0,0,98,0,0,"https://fbref.com/en/players/79a793b7/Lilian-Raolisoa"
2023,"Angers","Ligue 1","Halid Šabanović","BIH","DF","22",1999,7.1,280,233,47,3,0,2,8,44,0,0,0,0,228,0,2,"https://fbref.com/en/players/8299e363/Halid-Sabanovic"
2023,"Angers","Ligue 1","Amine Salama","FRA","FW,MF","22",2000,13.9,321,303,16,0,2,0,12,0,0,0,0,0,236,2,10,"https://fbref.com/en/players/bc7cc472/Amine-Salama"
2023,"Angers","Ligue 1","Abdallah Sima","SEN","FW","21",2001,20.4,374,334,39,0,1,1,16,6,0,0,0,0,274,1,15,"https://fbref.com/en/players/fdbde523/Abdallah-Sima"
