Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,0.73,7,30,-23
https://fbref.com/en/players/a94d93be/Cedric-Avinel,0.63,11,40,-29
https://fbref.com/en/players/e3844ecb/Mickael-Barreto,0.6,6,34,-28
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,0.76,8,42,-34
https://fbref.com/en/players/1a248246/Youcef-Belaili,0.88,12,23,-11
https://fbref.com/en/players/65fcf987/Kouame-Botue,0.38,1,5,-4
https://fbref.com/en/players/5d9577aa/Florian-Chabrolle,0.43,3,12,-9
https://fbref.com/en/players/1237c049/Ivane-Chegra,0.67,1,5,-4
https://fbref.com/en/players/7495aba7/Yanis-Cimignani,0.63,3,2,1
https://fbref.com/en/players/386de9b1/Gaetan-Courtet,NA,NA,NA,NA
https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur,0.78,14,36,-22
https://fbref.com/en/players/b3244eeb/Ismael-Diallo,0.86,18,43,-25
https://fbref.com/en/players/627b570a/Moussa-Djitte,0.5,0,3,-3
https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez,0.67,15,58,-43
https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure,1,0,4,-4
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,0.63,12,25,-13
https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy,0.69,19,46,-27
https://fbref.com/en/players/3670aa71/Anthony-Khelifa,0,0,1,-1
https://fbref.com/en/players/e6eadfb8/Youssouf-Kone,0.77,10,15,-5
https://fbref.com/en/players/eb0db257/Qazim-Laci,0.56,1,4,-3
https://fbref.com/en/players/5bf26efc/Paolo-Lebas,0,0,1,-1
https://fbref.com/en/players/14e7e7ad/Victor-Lebas,NA,NA,NA,NA
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,0.69,19,60,-41
https://fbref.com/en/players/17e25e72/Ruan-Levine,0,0,2,-2
https://fbref.com/en/players/c801616a/Thomas-Mangani,0.77,8,36,-28
https://fbref.com/en/players/740f00ac/Vincent-Marchetti,0.84,18,46,-28
https://fbref.com/en/players/b20cc590/Fernand-Mayembo,0.36,5,18,-13
https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko,0.53,4,11,-7
https://fbref.com/en/players/374fbf7d/Riad-Nouri,0.76,17,38,-21
https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz,0.75,1,1,0
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,3,1,0,1
https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,0.57,3,15,-12
https://fbref.com/en/players/86a49468/Moussa-Soumano,0.5,4,14,-10
