Url,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,10,2,16.3,0,0,0
https://fbref.com/en/players/a94d93be/Cedric-Avinel,3,1,4.1,0,0,0
https://fbref.com/en/players/e3844ecb/Mickael-Barreto,19,4,26.6,3,0,0
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,22,6,15.2,0,0,0
https://fbref.com/en/players/1a248246/Youcef-Belaili,27,9,24.8,4,5,6
https://fbref.com/en/players/65fcf987/Kouame-Botue,7,0,14.2,0,0,0
https://fbref.com/en/players/5d9577aa/Florian-Chabrolle,2,1,26.6,0,0,0
https://fbref.com/en/players/1237c049/Ivane-Chegra,1,0,20.4,0,0,0
https://fbref.com/en/players/7495aba7/Yanis-Cimignani,6,2,24.6,0,0,0
https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur,4,0,29.1,0,0,0
https://fbref.com/en/players/b3244eeb/Ismael-Diallo,3,0,17.5,0,0,0
https://fbref.com/en/players/627b570a/Moussa-Djitte,2,0,23.3,0,0,0
https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez,11,3,11.1,0,0,0
https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure,2,0,28.5,0,0,0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,16,6,15.3,1,0,0
https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy,50,19,14.6,0,0,0
https://fbref.com/en/players/3670aa71/Anthony-Khelifa,0,0,NA,0,0,0
https://fbref.com/en/players/e6eadfb8/Youssouf-Kone,1,1,27.6,0,0,0
https://fbref.com/en/players/eb0db257/Qazim-Laci,4,0,30.4,1,0,0
https://fbref.com/en/players/5bf26efc/Paolo-Lebas,0,0,NA,0,0,0
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,0,0,NA,0,0,0
https://fbref.com/en/players/17e25e72/Ruan-Levine,2,1,13.1,0,0,0
https://fbref.com/en/players/c801616a/Thomas-Mangani,9,0,27.1,2,1,2
https://fbref.com/en/players/740f00ac/Vincent-Marchetti,37,9,22.8,1,0,0
https://fbref.com/en/players/b20cc590/Fernand-Mayembo,4,0,6.2,0,0,0
https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko,20,7,12.6,0,0,0
https://fbref.com/en/players/374fbf7d/Riad-Nouri,16,4,16.4,0,0,1
https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz,0,0,NA,0,0,0
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,0,0,NA,0,0,0
https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,0,0,NA,0,0,0
https://fbref.com/en/players/86a49468/Moussa-Soumano,6,2,17.5,0,0,0
https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda,7,1,14.2,0,0,0
https://fbref.com/en/players/4ca4f263/Tony-Strata,0,0,NA,0,0,0
https://fbref.com/en/players/4e47507a/Yoann-Touzghar,3,0,11.1,0,0,0
https://fbref.com/en/players/b2791a55/Clement-Vidal,12,2,10.8,0,0,0
https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf,5,1,18.7,0,0,0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,23,7,20.2,0,0,0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,9,5,10.1,0,0,0
https://fbref.com/en/players/35f6db55/Leo-Baptistao,45,16,14.9,0,0,0
https://fbref.com/en/players/47c609d5/El-Bilal-Toure,29,14,11.5,0,0,0
https://fbref.com/en/players/2475cf9b/Juan-Brandariz,3,1,10.2,0,0,0
https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo,2,1,24.4,0,0,0
https://fbref.com/en/players/ae852b7d/Alex-Centelles,5,2,21.2,0,0,0
https://fbref.com/en/players/76c2a023/Samu-Costa,20,7,20,2,0,0
https://fbref.com/en/players/f9a225f5/Curro,1,1,15.9,0,0,0
https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras,8,3,21.2,0,0,0
https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely,19,1,14.7,1,0,0
https://fbref.com/en/players/db8f0eba/Adri-Embarba,47,19,23.9,13,1,1
https://fbref.com/en/players/dabb2827/Fernando,0,0,NA,0,0,0
https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez,41,13,15.9,0,0,0
https://fbref.com/en/players/55634fb8/Kaiky,1,0,11.7,0,0,0
https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz,7,1,20.7,0,0,0
https://fbref.com/en/players/86ff856b/Lazaro,25,12,15,0,0,0
https://fbref.com/en/players/d9235a45/Diego-Marino,0,0,NA,0,0,0
https://fbref.com/en/players/3902e91b/Gonzalo-Melero,23,10,17.2,0,1,1
https://fbref.com/en/players/1545cf15/Houboulang-Mendes,1,0,23.9,0,0,0
https://fbref.com/en/players/1fda2b14/Marko-Milovanovic,1,0,9.4,0,0,0
https://fbref.com/en/players/97852360/Fernando-Pacheco,0,0,NA,0,0,0
https://fbref.com/en/players/8e010ff4/Francisco-Portillo,5,2,17.4,0,0,0
https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo,10,2,20.4,0,0,0
https://fbref.com/en/players/39352da2/Arnau-Puigmal,17,6,18.1,0,0,0
https://fbref.com/en/players/cc9256ef/Largie-Ramazani,40,18,19.8,1,0,1
https://fbref.com/en/players/a8981944/Lucas-Robertone,37,7,25.4,4,0,0
https://fbref.com/en/players/686cbe7d/Umar-Sadiq,7,3,14.5,0,0,0
https://fbref.com/en/players/e4738e91/Dyego-Sousa,13,4,14.2,0,0,0
https://fbref.com/en/players/7978cbf0/Himad-Abdelli,24,7,22.4,2,0,0
https://fbref.com/en/players/9260926b/Ibrahim-Amadou,2,0,24.4,0,0,0
https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,0,0,NA,0,0,0
https://fbref.com/en/players/3189f61a/Nabil-Bentaleb,39,13,27.5,8,2,2
https://fbref.com/en/players/28dabd43/Paul-Bernardoni,0,0,NA,0,0,0
https://fbref.com/en/players/3cdfc63e/Miha-Blazic,8,4,10,1,0,0
https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,1,1,31.2,1,0,0
https://fbref.com/en/players/b0c71810/Sofiane-Boufal,21,9,20.8,4,2,2
https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara,1,1,6.5,0,0,0
https://fbref.com/en/players/79b2399c/Pierrick-Capelle,16,7,17.6,0,0,0
https://fbref.com/en/players/9d498560/Ilyes-Cheti,0,0,NA,0,0,0
https://fbref.com/en/players/4be0b467/Lois-Diony,12,3,14.5,0,0,0
https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,7,2,16,0,0,0
https://fbref.com/en/players/9d420dad/Yahia-Fofana,0,0,NA,0,0,0
https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam,1,0,24.4,0,0,0
https://fbref.com/en/players/00891164/Cedric-Hountondji,11,4,8.9,0,0,0
https://fbref.com/en/players/d14229f3/Adrien-Hunou,45,18,13.2,0,0,0
https://fbref.com/en/players/96f4ebc0/Marin-Jakolis,2,1,12.7,0,0,0
https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba,2,0,24.4,0,0,0
https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya,4,0,15.4,0,0,0
https://fbref.com/en/players/890bc029/Jason-Mbock,0,0,NA,0,0,0
https://fbref.com/en/players/d21e361a/Farid-El-Melali,11,2,18.8,0,0,0
https://fbref.com/en/players/e472a6f6/Batista-Mendy,15,2,24,0,0,0
https://fbref.com/en/players/46faabfa/Ibrahima-Niane,26,11,13.7,0,0,0
https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled,1,1,2.8,0,0,0
https://fbref.com/en/players/83299cc0/Azzedine-Ounahi,23,6,19.8,1,0,0
https://fbref.com/en/players/79a793b7/Lilian-Raolisoa,3,2,18.7,0,0,0
https://fbref.com/en/players/8299e363/Halid-Sabanovic,5,3,17.1,0,0,0
https://fbref.com/en/players/bc7cc472/Amine-Salama,25,11,15.2,1,0,0
https://fbref.com/en/players/fdbde523/Abdallah-Sima,39,10,12.7,0,0,0
https://fbref.com/en/players/95192fe4/Waniss-Taibi,1,0,6.5,0,0,0
https://fbref.com/en/players/f4bc42b1/Sada-Thioub,9,1,14,0,0,0
https://fbref.com/en/players/531a4aa8/Yan-Valery,13,2,21,0,0,0
