Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,26,14,1361,15.1,0,0,0,0,0,0,2,1,30,51,34
https://fbref.com/en/players/a94d93be/Cedric-Avinel,24,19,1794,19.9,1,0,1,1,0,0,2,1,3,31,1
https://fbref.com/en/players/e3844ecb/Mickael-Barreto,20,15,1325,14.7,1,1,2,1,0,0,1,0,26,87,53
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,33,25,2009,22.3,1,1,2,1,0,0,3,1,46,66,109
https://fbref.com/en/players/1a248246/Youcef-Belaili,17,15,1150,12.8,6,3,9,1,5,6,2,0,32,55,68
https://fbref.com/en/players/65fcf987/Kouame-Botue,8,2,229,2.5,0,0,0,0,0,0,0,0,4,4,16
https://fbref.com/en/players/5d9577aa/Florian-Chabrolle,7,3,329,3.7,0,0,0,0,0,0,1,0,1,14,8
https://fbref.com/en/players/1237c049/Ivane-Chegra,6,1,193,2.1,0,0,0,0,0,0,0,0,7,7,5
https://fbref.com/en/players/7495aba7/Yanis-Cimignani,8,3,279,3.1,0,0,0,0,0,0,0,0,3,0,17
https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur,27,22,1947,21.6,0,0,0,0,0,0,2,0,20,110,22
https://fbref.com/en/players/b3244eeb/Ismael-Diallo,28,25,2176,24.2,0,0,0,0,0,0,9,1,36,70,36
https://fbref.com/en/players/627b570a/Moussa-Djitte,6,1,136,1.5,0,0,0,0,0,0,0,0,0,2,12
https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez,30,29,2578,28.6,0,0,0,0,0,0,10,0,12,54,5
https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure,4,2,209,2.3,0,0,0,0,0,0,0,0,2,1,8
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,19,14,1079,12,2,2,4,2,0,0,5,2,29,47,110
https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy,32,30,2497,27.7,6,0,6,6,0,0,10,0,21,40,173
https://fbref.com/en/players/3670aa71/Anthony-Khelifa,2,0,10,0.1,0,0,0,0,0,0,0,0,1,1,0
https://fbref.com/en/players/e6eadfb8/Youssouf-Kone,13,12,916,10.2,0,0,0,0,0,0,4,0,14,23,16
https://fbref.com/en/players/eb0db257/Qazim-Laci,9,2,212,2.4,0,0,0,0,0,0,0,0,0,24,4
https://fbref.com/en/players/5bf26efc/Paolo-Lebas,1,0,55,0.6,0,0,0,0,0,0,0,0,0,2,0
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,32,32,2798,31.1,0,0,0,0,0,0,1,0,0,1,0
https://fbref.com/en/players/17e25e72/Ruan-Levine,3,0,24,0.3,0,0,0,0,0,0,0,0,0,1,4
https://fbref.com/en/players/c801616a/Thomas-Mangani,26,14,1332,14.8,1,1,2,0,1,2,4,1,9,92,15
https://fbref.com/en/players/740f00ac/Vincent-Marchetti,31,29,2452,27.2,0,2,2,0,0,0,7,0,66,143,58
https://fbref.com/en/players/b20cc590/Fernand-Mayembo,11,8,707,7.9,0,0,0,0,0,0,1,0,2,11,1
https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko,17,7,698,7.8,1,0,1,1,0,0,1,0,10,10,45
https://fbref.com/en/players/374fbf7d/Riad-Nouri,33,16,1693,18.8,1,1,2,1,0,1,3,0,33,39,144
https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz,4,0,47,0.5,0,0,0,0,0,0,0,0,3,4,1
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,1,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0
https://fbref.com/en/players/86a49468/Moussa-Soumano,14,5,495,5.5,1,0,1,1,0,0,3,0,5,1,19
https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda,22,13,1063,11.8,0,1,1,0,0,0,3,0,17,17,56
https://fbref.com/en/players/4ca4f263/Tony-Strata,3,1,138,1.5,0,0,0,0,0,0,1,0,1,2,0
https://fbref.com/en/players/4e47507a/Yoann-Touzghar,11,5,447,5,0,0,0,0,0,0,0,1,3,7,24
https://fbref.com/en/players/b2791a55/Clement-Vidal,26,21,1901,21.1,1,0,1,1,0,0,5,1,3,61,3
https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf,30,27,2459,27.3,0,0,0,0,0,0,5,1,48,91,83
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,29,27,2297,25.5,1,0,1,1,0,0,5,0,60,58,84
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,34,33,2998,33.3,3,0,3,3,0,0,5,0,21,63,5
https://fbref.com/en/players/35f6db55/Leo-Baptistao,28,24,1726,19.2,5,1,6,5,0,0,7,0,38,51,83
https://fbref.com/en/players/47c609d5/El-Bilal-Toure,21,15,1264,14,7,2,9,7,0,0,0,0,18,14,51
https://fbref.com/en/players/2475cf9b/Juan-Brandariz,21,15,1489,16.5,1,0,1,1,0,0,5,0,13,32,10
https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,3
https://fbref.com/en/players/ae852b7d/Alex-Centelles,15,11,1123,12.5,1,2,3,1,0,0,0,1,17,35,48
https://fbref.com/en/players/76c2a023/Samu-Costa,32,22,1989,22.1,1,2,3,1,0,0,5,0,9,91,24
https://fbref.com/en/players/f9a225f5/Curro,2,0,43,0.5,0,0,0,0,0,0,1,0,1,1,1
https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras,25,10,967,10.7,1,1,2,1,0,0,6,0,8,61,7
https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely,36,36,3155,35.1,0,1,1,0,0,0,10,1,6,52,4
https://fbref.com/en/players/db8f0eba/Adri-Embarba,29,18,1472,16.4,4,3,7,3,1,1,5,1,62,47,115
https://fbref.com/en/players/dabb2827/Fernando,37,37,3285,36.5,0,0,0,0,0,0,3,0,0,0,0
https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez,21,18,1490,16.6,4,4,8,4,0,0,4,1,29,26,87
https://fbref.com/en/players/55634fb8/Kaiky,13,7,581,6.5,0,0,0,0,0,0,5,0,7,11,2
https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz,25,18,1673,18.6,1,0,1,1,0,0,6,0,3,49,6
https://fbref.com/en/players/86ff856b/Lazaro,19,7,716,8,6,0,6,6,0,0,1,0,23,26,59
