Url,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,35,23,20,11,4,20,33,13,17,5,12,35,70,44,1
https://fbref.com/en/players/a94d93be/Cedric-Avinel,13,7,8,5,0,8,12,4,20,13,7,15,28,91,1
https://fbref.com/en/players/e3844ecb/Mickael-Barreto,32,20,12,17,3,8,45,37,17,0,17,18,50,11,0
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,53,37,16,20,17,23,47,24,20,3,17,25,78,21,0
https://fbref.com/en/players/1a248246/Youcef-Belaili,18,10,3,9,6,8,20,12,10,1,9,5,23,4,0
https://fbref.com/en/players/65fcf987/Kouame-Botue,4,2,2,1,1,0,2,2,1,0,1,0,4,1,0
https://fbref.com/en/players/5d9577aa/Florian-Chabrolle,6,4,1,5,0,2,4,2,3,0,3,7,13,2,0
https://fbref.com/en/players/1237c049/Ivane-Chegra,8,3,6,1,1,4,11,7,0,0,0,1,9,0,0
https://fbref.com/en/players/7495aba7/Yanis-Cimignani,11,5,3,7,1,4,5,1,5,1,4,2,13,2,0
https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur,23,13,13,10,0,8,28,20,19,3,16,19,42,21,0
https://fbref.com/en/players/b3244eeb/Ismael-Diallo,46,33,35,9,2,35,63,28,26,12,14,30,76,46,1
https://fbref.com/en/players/627b570a/Moussa-Djitte,1,0,0,0,1,1,2,1,0,0,0,0,1,1,0
https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez,51,28,34,13,4,23,37,14,32,11,21,52,103,82,0
https://fbref.com/en/players/c7eebddf/Ben-Hamed-Toure,4,4,2,2,0,1,5,4,2,0,2,1,5,4,0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,8,3,3,3,2,3,6,3,8,0,8,2,10,2,0
https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy,32,19,5,20,7,10,36,26,22,0,22,13,45,20,0
https://fbref.com/en/players/3670aa71/Anthony-Khelifa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/e6eadfb8/Youssouf-Kone,28,19,24,4,0,18,25,7,9,2,7,12,40,32,1
https://fbref.com/en/players/eb0db257/Qazim-Laci,6,3,2,3,1,4,9,5,5,0,5,2,8,3,0
https://fbref.com/en/players/5bf26efc/Paolo-Lebas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,0,0,0,0,0,0,2,2,0,0,0,1,1,16,2
https://fbref.com/en/players/17e25e72/Ruan-Levine,2,2,1,1,0,0,0,0,1,0,1,2,4,0,0
https://fbref.com/en/players/c801616a/Thomas-Mangani,32,17,14,15,3,18,47,29,22,3,19,24,56,22,1
https://fbref.com/en/players/740f00ac/Vincent-Marchetti,55,26,29,19,7,25,68,43,23,3,20,19,74,31,0
https://fbref.com/en/players/b20cc590/Fernand-Mayembo,8,5,6,2,0,4,9,5,2,0,2,11,19,36,0
https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko,3,1,1,1,1,1,2,1,5,3,2,2,5,8,0
https://fbref.com/en/players/374fbf7d/Riad-Nouri,21,12,7,10,4,12,29,17,8,1,7,15,36,11,0
https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz,2,2,0,1,1,1,2,1,1,0,1,3,5,0,0
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
https://fbref.com/en/players/86a49468/Moussa-Soumano,2,2,0,1,1,0,6,6,2,0,2,0,2,0,0
https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda,29,18,15,9,5,12,33,21,18,0,18,11,40,5,0
https://fbref.com/en/players/4ca4f263/Tony-Strata,4,3,4,0,0,4,5,1,2,0,2,1,5,7,0
https://fbref.com/en/players/4e47507a/Yoann-Touzghar,3,2,0,2,1,0,1,1,0,0,0,0,3,1,0
https://fbref.com/en/players/b2791a55/Clement-Vidal,25,15,14,11,0,18,38,20,27,16,11,27,52,73,1
https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf,72,44,41,24,7,38,61,23,32,8,24,65,137,70,0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,27,16,19,6,2,12,22,10,22,6,16,14,41,41,0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,28,18,20,8,0,15,32,17,34,22,12,29,57,124,1
